"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color"
"albian",7,0,-15,-7.5,"S",65.21,51,79,0.0393196097584506,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",8,-15,-30,-22.5,"S",55.05,43,68,0.0331934445208205,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",9,-30,-45,-37.5,"S",92.05,71.9,109,0.0555032982405364,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",10,-45,-60,-52.5,"S",129.14,109,147.05,0.0778674191720029,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",11,-60,-75,-67.5,"S",122.08,99.475,138.525,0.0736104578946734,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",12,-75,-90,-82.5,"S",12.38,7,19,0.00746475646081304,113,106.75,100.5,12.5,"Alb","#CCEA97"
"anisian",1,90,75,82.5,"N",174.74,151,198.525,0.106458550374987,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",2,75,60,67.5,"N",162.19,143.475,184,0.0988125917667343,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",3,60,45,52.5,"N",169.94,150.475,190.525,0.103534199672229,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",4,45,30,37.5,"N",189.51,164.475,213,0.115457021183265,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",5,30,15,22.5,"N",185.41,166.475,208.525,0.112959138291326,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",6,15,0,7.5,"N",155.76,136.475,176,0.094895180304498,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",7,0,-15,-7.5,"S",143.33,119.95,160,0.0873223304638142,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",8,-15,-30,-22.5,"S",139.23,119.475,161.575,0.0848244475718751,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",9,-30,-45,-37.5,"S",107.3,89.475,127.05,0.0653714230012368,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",10,-45,-60,-52.5,"S",31.27,22,43.525,0.0190509263490091,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",11,-60,-75,-67.5,"S",61.16,49,74.525,0.0372611018709752,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",12,-75,-90,-82.5,"S",121.55,102,136.05,0.0740530891500497,247.2,244.6,242,5.2,"An","#BC75B7"
"aptian",1,90,75,82.5,"N",278.66,253.425,302,0.175890625394501,125,119,113,12,"Ap","#BFE48A"
"aptian",2,75,60,67.5,"N",151.8,130.9,173.05,0.0958163960916,125,119,113,12,"Ap","#BFE48A"
"aptian",3,60,45,52.5,"N",117.06,99,135.05,0.0738884540611508,125,119,113,12,"Ap","#BFE48A"
"aptian",4,45,30,37.5,"N",176.73,152.425,201,0.111552250864746,125,119,113,12,"Ap","#BFE48A"
"aptian",5,30,15,22.5,"N",174.08,148.475,200.25,0.109879566743252,125,119,113,12,"Ap","#BFE48A"
"aptian",6,15,0,7.5,"N",91.85,74.475,108.05,0.0579758628525261,125,119,113,12,"Ap","#BFE48A"
"aptian",7,0,-15,-7.5,"S",48.02,35,59,0.030310298684576,125,119,113,12,"Ap","#BFE48A"
"aptian",8,-15,-30,-22.5,"S",73.27,58.475,87.05,0.0462481379554119,125,119,113,12,"Ap","#BFE48A"
"aptian",9,-30,-45,-37.5,"S",90.85,72.425,109.525,0.0573446612972454,125,119,113,12,"Ap","#BFE48A"
"aptian",10,-45,-60,-52.5,"S",179.64,155.425,201.05,0.113389047390613,125,119,113,12,"Ap","#BFE48A"
"aptian",11,-60,-75,-67.5,"S",175.97,146.475,196.525,0.111072537682733,125,119,113,12,"Ap","#BFE48A"
"aptian",12,-75,-90,-82.5,"S",26.35,16,36.525,0.0166321609816447,125,119,113,12,"Ap","#BFE48A"
"aquitanian",1,90,75,82.5,"N",166.88,146,193.625,0.0993913115984324,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"aquitanian",2,75,60,67.5,"N",183.52,160.95,206.05,0.10930185465331,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"aquitanian",3,60,45,52.5,"N",191.24,168.475,217.05,0.113899774868673,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
