"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color"
"albian",9,-30,-45,-37.5,"S",2.67954,0,6.993525,0.0299438824594719,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",10,-45,-60,-52.5,"S",1.18,0,4,0.0131865101107566,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",11,-60,-75,-67.5,"S",3.49769,1,6.983,0.0390867157197393,113,106.75,100.5,12.5,"Alb","#CCEA97"
"albian",12,-75,-90,-82.5,"S",NA,NA,NA,NA,113,106.75,100.5,12.5,"Alb","#CCEA97"
"anisian",1,90,75,82.5,"N",NA,NA,NA,NA,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",2,75,60,67.5,"N",NA,NA,NA,NA,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",3,60,45,52.5,"N",4.17268,0.475,7.991,0.0752560217550408,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",4,45,30,37.5,"N",10.99494,5.97685,16.06805,0.198298322381627,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",5,30,15,22.5,"N",20.29593,16.371425,25.3949,0.36604555096935,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",6,15,0,7.5,"N",4.32375,1,8.959525,0.0779806321269203,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",7,0,-15,-7.5,"S",7.922,3,11.728775,0.14287656957721,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",8,-15,-30,-22.5,"S",3.19943,0,6.995675,0.0577030526385273,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",9,-30,-45,-37.5,"S",NA,NA,NA,NA,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",10,-45,-60,-52.5,"S",NA,NA,NA,NA,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",11,-60,-75,-67.5,"S",NA,NA,NA,NA,247.2,244.6,242,5.2,"An","#BC75B7"
"anisian",12,-75,-90,-82.5,"S",4.53773,0.475,8.95785,0.0818398505513247,247.2,244.6,242,5.2,"An","#BC75B7"
"aptian",1,90,75,82.5,"N",0.98,0,3,0.0160699732549731,125,119,113,12,"Ap","#BFE48A"
"aptian",2,75,60,67.5,"N",2.45973,0,5,0.0403344850147499,125,119,113,12,"Ap","#BFE48A"
"aptian",3,60,45,52.5,"N",1.69981,0,5,0.0278733686107508,125,119,113,12,"Ap","#BFE48A"
"aptian",4,45,30,37.5,"N",25.57148,22.176275,29.2117,0.419319387438856,125,119,113,12,"Ap","#BFE48A"
"aptian",5,30,15,22.5,"N",11.77477,6.998475,16.76555,0.193081876513734,125,119,113,12,"Ap","#BFE48A"
"aptian",6,15,0,7.5,"N",2.95902,0,6.996575,0.0485218084295209,125,119,113,12,"Ap","#BFE48A"
"aptian",7,0,-15,-7.5,"S",0.76,0,3,0.0124624282385506,125,119,113,12,"Ap","#BFE48A"
"aptian",8,-15,-30,-22.5,"S",2.5197,0,5.999,0.0413178689903629,125,119,113,12,"Ap","#BFE48A"
"aptian",9,-30,-45,-37.5,"S",1.91999,0,4,0.0314838652549141,125,119,113,12,"Ap","#BFE48A"
"aptian",10,-45,-60,-52.5,"S",1.06,0,3.52499999999999,0.0173818078063995,125,119,113,12,"Ap","#BFE48A"
"aptian",11,-60,-75,-67.5,"S",9.2788,4.997,15.124925,0.152153130447188,125,119,113,12,"Ap","#BFE48A"
"aptian",12,-75,-90,-82.5,"S",NA,NA,NA,NA,125,119,113,12,"Ap","#BFE48A"
"aquitanian",1,90,75,82.5,"N",NA,NA,NA,NA,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"aquitanian",2,75,60,67.5,"N",NA,NA,NA,NA,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"aquitanian",3,60,45,52.5,"N",3.10969,0.475,6.996525,0.107895175112937,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"aquitanian",4,45,30,37.5,"N",14.31646,10.579025,18.52735,0.496730207415323,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"aquitanian",5,30,15,22.5,"N",2.54992,0,6.52342499999999,0.0884731484244346,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"aquitanian",6,15,0,7.5,"N",2.59983,0,6.52237499999999,0.090204847786714,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"aquitanian",7,0,-15,-7.5,"S",NA,NA,NA,NA,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"aquitanian",8,-15,-30,-22.5,"S",NA,NA,NA,NA,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
"aquitanian",9,-30,-45,-37.5,"S",3.66561,0,8.46087499999999,0.127183620504209,23.03,21.735,20.44,2.59,"Aq","#FFFF33"
