"bin","max","min","mid","hemisphere","ssc","name","max_age","mid_age","min_age","duration","abbr","color"
12,-75,-90,-82.5,"S",0,"messinian",7.246,6.2895,5.333,1.913,"Mss","#FFFF73"
1,90,75,82.5,"N",0,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
2,75,60,67.5,"N",0,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
3,60,45,52.5,"N",1.20643431635389,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
4,45,30,37.5,"N",3.26876513317191,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
5,30,15,22.5,"N",0.796178343949045,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
6,15,0,7.5,"N",0.573065902578797,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
7,0,-15,-7.5,"S",0.185873605947955,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
8,-15,-30,-22.5,"S",0.535714285714286,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
9,-30,-45,-37.5,"S",0.907441016333938,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
10,-45,-60,-52.5,"S",0.380228136882129,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
11,-60,-75,-67.5,"S",0,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
12,-75,-90,-82.5,"S",0,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
1,90,75,82.5,"N",0,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
2,75,60,67.5,"N",0,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
3,60,45,52.5,"N",0.846432889963724,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
4,45,30,37.5,"N",2.32558139534884,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
5,30,15,22.5,"N",0.324149108589951,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
6,15,0,7.5,"N",0.570613409415121,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
7,0,-15,-7.5,"S",0.359066427289048,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
8,-15,-30,-22.5,"S",0.163398692810458,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
9,-30,-45,-37.5,"S",0.667779632721202,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
10,-45,-60,-52.5,"S",0,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
11,-60,-75,-67.5,"S",0,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
12,-75,-90,-82.5,"S",0,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
1,90,75,82.5,"N",0,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
2,75,60,67.5,"N",0,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
3,60,45,52.5,"N",0.368098159509202,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
4,45,30,37.5,"N",1.76715176715177,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
5,30,15,22.5,"N",0.612557427258806,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
6,15,0,7.5,"N",0.161550888529887,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
7,0,-15,-7.5,"S",0.215982721382289,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
8,-15,-30,-22.5,"S",0.350877192982456,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
9,-30,-45,-37.5,"S",0.594059405940594,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
10,-45,-60,-52.5,"S",0.334448160535117,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
11,-60,-75,-67.5,"S",0,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
12,-75,-90,-82.5,"S",0,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
1,90,75,82.5,"N",0,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
2,75,60,67.5,"N",0.120918984280532,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
3,60,45,52.5,"N",0.475059382422803,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
4,45,30,37.5,"N",2.37324703344121,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
5,30,15,22.5,"N",1.57142857142857,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
6,15,0,7.5,"N",0.997150997150997,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
7,0,-15,-7.5,"S",0.43859649122807,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
8,-15,-30,-22.5,"S",0.312989045383412,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
9,-30,-45,-37.5,"S",0.924214417744917,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
10,-45,-60,-52.5,"S",0.50761421319797,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
11,-60,-75,-67.5,"S",0,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
12,-75,-90,-82.5,"S",0,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
1,90,75,82.5,"N",0,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
2,75,60,67.5,"N",0,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
3,60,45,52.5,"N",0.506970849176172,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
4,45,30,37.5,"N",1.23318385650224,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
5,30,15,22.5,"N",1.02941176470588,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
6,15,0,7.5,"N",0.581395348837209,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
7,0,-15,-7.5,"S",0,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
8,-15,-30,-22.5,"S",0,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
9,-30,-45,-37.5,"S",0.740740740740741,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
10,-45,-60,-52.5,"S",0.587084148727984,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
11,-60,-75,-67.5,"S",0,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
12,-75,-90,-82.5,"S",0,"aquitanian",23.03,21.735,20.44,2.59,"Aq","#FFFF33"
1,90,75,82.5,"N",0,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
2,75,60,67.5,"N",0.145560407569141,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
3,60,45,52.5,"N",1.25,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
4,45,30,37.5,"N",1.21951219512195,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
5,30,15,22.5,"N",0.78740157480315,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
6,15,0,7.5,"N",0.341296928327645,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
7,0,-15,-7.5,"S",0,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
8,-15,-30,-22.5,"S",0,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
9,-30,-45,-37.5,"S",0.186219739292365,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
10,-45,-60,-52.5,"S",0.879765395894428,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
11,-60,-75,-67.5,"S",0,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
12,-75,-90,-82.5,"S",0,"chattian",28.1,25.565,23.03,5.07,"Cht","#FEE6AA"
1,90,75,82.5,"N",0,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
2,75,60,67.5,"N",0.1230012300123,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
3,60,45,52.5,"N",1.9271948608137,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
4,45,30,37.5,"N",2.19341974077767,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
5,30,15,22.5,"N",1.94730813287514,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
6,15,0,7.5,"N",0.904159132007233,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
7,0,-15,-7.5,"S",0.353356890459364,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
8,-15,-30,-22.5,"S",0,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
9,-30,-45,-37.5,"S",0,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
10,-45,-60,-52.5,"S",0.723589001447178,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
11,-60,-75,-67.5,"S",0,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
12,-75,-90,-82.5,"S",0,"rupelian",33.9,31,28.1,5.8,"Rp","#FED99A"
1,90,75,82.5,"N",0,"priabonian",38,35.95,33.9,4.1,"Prb","#FDCDA1"
2,75,60,67.5,"N",0,"priabonian",38,35.95,33.9,4.1,"Prb","#FDCDA1"
3,60,45,52.5,"N",1.86219739292365,"priabonian",38,35.95,33.9,4.1,"Prb","#FDCDA1"
4,45,30,37.5,"N",2.23559759243336,"priabonian",38,35.95,33.9,4.1,"Prb","#FDCDA1"
