"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"140371",207625,"col","Long Gully",170.16,-44.66,"Backyards Road cutting (H39/f3)",NA,"",6,"Ladinian","",242,237,71594,"gp_mid",69.11,-88.23,"807",239.5,"ladinian",36991,132.0009,-74.6743,46,1
"143063",211551,"col","Esino",9.7,45.9,"Val Parina, S1078",NA,"",3,"Ladinian","",242,237,73116,"gp_mid",33.88,17.55,"307",239.5,"ladinian",37526,14.9765,13.7033,46,1
"143066",211554,"col","Esino",9.71,45.9,"Val Parina, S1058",NA,"",4,"Ladinian","",242,237,73116,"gp_mid",33.87,17.55,"307",239.5,"ladinian",37528,14.9765,13.7033,46,1
"143067",211555,"col","Esino",9.7,45.92,"Val Parina, S1174",NA,"",1,"Ladinian","",242,237,73116,"gp_mid",33.89,17.56,"307",239.5,"ladinian",37529,14.9765,13.7033,46,1
"143210",211757,"col","Raibl",13.57,46.44,"Kaltwasser, Raibl",NA,"Cave del Predil",2,"Ladinian","",242,237,73139,"gp_mid",35.69,15.44,"307",239.5,"ladinian",37560,21.4482,27.6226,46,1
"143211",211758,"col","",12.19,46.67,"Kaserbachthale, Dürrenstein",NA,"",1,"Ladinian","",242,237,73139,"gp_mid",35.42,16.39,"307",239.5,"ladinian",37561,19.3809,25.8877,46,1
"143212",211759,"col","",17.93,47.01,"Forráshegy, Felsõ-örs (archelaus Zone)",NA,"Forrás Hill",9,"Ladinian","",242,237,73139,"gp_mid",37.77,13.16,"308",239.5,"ladinian",37562,23.4856,29.4151,46,1
"143237",211815,"col","",12.66,46.42,"Between Monte Clapsavon and Forni di Sotto",NA,"",23,"Ladinian","",242,237,73139,"gp_mid",35.35,15.98,"307",239.5,"ladinian",37584,19.3809,25.8877,46,1
"143253",211844,"col","Esino",9.36,45.97,"Val del Monte, Esino, Perledo",NA,"",17,"Ladinian","",242,237,73139,"gp_mid",33.83,17.79,"307",239.5,"ladinian",37593,19.0343,22.3004,46,1
"143254",211845,"col","",17.67,46.91,"Szentantalfa, Bakony",NA,"",7,"Ladinian","",242,237,73139,"gp_mid",37.58,13.26,"308",239.5,"ladinian",37594,23.4856,29.4151,46,1
