"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"70707",138757,"col","Argun",36.470001,45.450001,"Malyi Kamyshlak, Kerch, Crimea (PIN collection 287)",NA,"",1,"Langhian","",15.97,13.82,41286,"gp_mid",37,42.31,"302",1,14.895,"langhian",1
"76932",148216,"col","",16.198999,47.999001,"Baden Rauchstallbrunngraben",NA,"",5,"Langhian","",15.97,13.82,47582,"gp_mid",18.67,44.14,"307",1,14.895,"langhian",1
"76934",148218,"col","",16.183332,47.945332,"Gainfarn",NA,"",1,"Langhian","",15.97,13.82,47582,"gp_mid",18.65,44.09,"307",1,14.895,"langhian",1
"76936",148221,"col","Leitha",16.610556,47.968056,"Mannersdorf",NA,"",0,"Langhian","",15.97,13.82,47582,"gp_mid",19.05,44.09,"308",1,14.895,"langhian",1
"80441",153681,"col","",16.389999,48.549999,"Niederleis",NA,"",2,"Langhian","",15.97,13.82,49760,"gp_mid",18.05,45.6,"305",1,14.895,"langhian",1
"84150",160737,"col","",16.135279,48.544724,"Grünes Kreuz",NA,"",1,"Langhian","",15.97,13.82,52420,"gp_mid",17.81,45.6,"305",1,14.895,"langhian",1
"84817",161611,"col","",-0.246111,44.515556,"Lublé",NA,"",17,"Langhian","",15.97,13.82,52633,"gp_mid",2.01,41.99,"305",1,14.895,"langhian",1
"84829",161625,"col","",4.85,45.716667,"Saint-Fons locality",NA,"",1,"Langhian","",15.97,13.82,52648,"gp_mid",6.95,43.04,"305",1,14.895,"langhian",1
"86334",164746,"col","",118,1,"Bontang Mine, East Kalimantan, Lemoedjan-Sawahan",NA,"",1,"Langhian","",15.97,13.82,53783,"gp_mid",121.58,0.81,"620",1,14.895,"langhian",1
"86335",164747,"col","",118,1,"Kari Orang, East Kalimantan",NA,"",1,"Langhian","",15.97,13.82,53783,"gp_mid",121.58,0.81,"620",1,14.895,"langhian",1
"86340",164752,"col","",117,0,"Batu Cermen, East Kalimantan, TF79, Samarinda",NA,"",6,"Langhian","",15.97,13.82,53783,"gp_mid",120.71,-0.3,"620",1,14.895,"langhian",1
"87037",165934,"col","Port Campbell Limestone",141.936005,-37.743,"Muddy Creek (BMNH collection)",NA,"",3,"Langhian","",15.97,13.82,54222,"gp_mid",145,-46.1,"801",1,14.895,"langhian",1
"87249",166232,"col","Güines",-81.581001,23.058001,"White Limestone of Matanzas",NA,"",1,"Langhian","",15.97,13.82,54316,"gp_mid",-76.13,25.14,"206",1,14.895,"langhian",1
"87795",167460,"col","Moniwa",140.757996,38.214001,"Kita-Akashi, Sendai City",NA,"",2,"Langhian","",15.97,13.82,54640,"gp_mid",138.13,38.13,"610",1,14.895,"langhian",1
"89363",171034,"col","",133.96666,34.633331,"Obara",NA,"",1,"Langhian","",15.97,13.82,55671,"gp_mid",131.6,34.26,"610",1,14.895,"langhian",1
"89564",171278,"col","Nullarbor",128.889999,-31.66,"Near Eucla",NA,"",1,"Langhian","",15.97,13.82,55713,"gp_mid",129.43,-41.09,"801",1,14.895,"langhian",1
"89875",171612,"col","Moniwa",140.791672,38.216667,"Moniwa",NA,"",1,"Langhian","",15.97,13.82,55799,"gp_mid",138.16,38.13,"610",1,14.895,"langhian",1
"89876",171613,"col","Sekinobana",136.691666,37.212502,"Sekinobana",NA,"",3,"Langhian","",15.97,13.82,55800,"gp_mid",134.15,36.95,"610",1,14.895,"langhian",1
"89877",171614,"col","Maneami",137.069443,37.212502,"Maneami",NA,"",1,"Langhian","",15.97,13.82,55800,"gp_mid",134.52,36.97,"610",1,14.895,"langhian",1
"89883",171621,"col","Kimachi",132.951385,35.420834,"Kimachi",NA,"",2,"Langhian","",15.97,13.82,55805,"gp_mid",130.55,35,"610",1,14.895,"langhian",1
"90264",172170,"col","Suenomatsuyama",141.299149,40.335773,"Kintaichi",NA,"",2,"Langhian","",15.97,13.82,55905,"gp_mid",138.52,40.27,"610",1,14.895,"langhian",1
