"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"121571",175184,"col","Setap",113.81,4.06,"BK75, Bekenu",NA,"",11,"Burdigalian","",20.44,15.97,57145,"gp_mid",118.05,2.63,"621",18.205,"burdigalian",32271,110.5164,7.9324,9,1
"121572",175185,"col","Castillo",-70.07,10.37,"Cerro La Cruz",NA,"",3,"Burdigalian","",20.44,15.97,57241,"gp_mid",-64.52,10.97,"203",18.205,"burdigalian",27899,-69.3567,6.6596,9,1
"122342",176265,"col","Miocene Lower Continental Complex",2,41.44,"Can Mas (El Papiol)",NA,"",10,"MN 4","",16.9,15.97,57921,"gp_mid",4.12,38.67,"304",16.435,"burdigalian",32402,0.4466,40.7402,9,1
"122379",176303,"col","Gippsland Limestone",148.4,-37.75,"Newmerella Railway cutting",NA,"",1,"Burdigalian","",20.44,15.97,18301,"gp_mid",153.31,-46.51,"801",18.205,"burdigalian",7891,148.8743,-46.1817,9,1
"122538",176512,"col","Hiramatsu",136.27,34.75,"MIya River at Iga City",NA,"",1,"Burdigalian","",20.44,15.97,58604,"gp_mid",133.61,34.61,"610",18.205,"burdigalian",32464,132.2559,37.6724,9,1
"122805",176824,"col","Jimol",-71.03,12,"Gharial Locality (390092)",NA,"9 km west of Puerto Lopez",1,"Burdigalian","",20.44,15.97,58353,"gp_mid",-65.42,12.63,"203",18.205,"burdigalian",32548,-70.8445,9.221,9,1
"122807",176826,"col","Castilletes",-71.33,11.95,"North Patajau Valley (STRI 390094)",NA,"Puerto Lopez",8,"Burdigalian","",20.44,15.97,54378,"gp_mid",-65.71,12.59,"203",18.205,"burdigalian",29728,-70.8445,9.221,9,1
"122808",176827,"col","Jimol",-71.03,12,"Big Croc Locality (390091)",NA,"9 km northwest of Puerto Lopez",1,"Burdigalian","",20.44,15.97,58353,"gp_mid",-65.42,12.63,"203",18.205,"burdigalian",32548,-70.8445,9.221,9,1
"122908",176936,"col","Marks Head",-82.9,29.9,"Suwannee Springs Roadcut",NA,"",7,"Hemingfordian","",20.43,15.97,58392,"gp_mid",-75.53,32.36,"109",18.2,"burdigalian",32564,-78.5048,29.1362,9,1
"123118",177172,"col","",68.82,23.37,"Chaasra Fm.",NA,"",19,"Burdigalian","",20.44,15.97,58522,"gp_mid",69.2,14.37,"501",18.205,"burdigalian",32587,62.8516,16.7246,9,1
"124318",179086,"col","Chasra",68.75,23.42,"Kutch",NA,"",50,"Burdigalian","",20.44,15.97,36478,"gp_mid",69.15,14.42,"501",18.205,"burdigalian",32948,62.8516,16.7246,9,1
"124320",179088,"col","Chipola",-85.17,30.45,"USGS Loc. 2115 - Ten Mile Creek on Chipola River, 1 mile west of Baileys Ferry",NA,"",1,"Burdigalian","",20.44,15.97,59260,"gp_mid",-77.79,33.1,"109",18.205,"burdigalian",32949,-82.2202,29.321,9,1
"124323",179091,"col","Chipola",-84.99,30.47,"Alum Bluff",42443,"",1,"Burdigalian","",20.44,15.97,59260,"gp_mid",-77.6,33.1,"109",18.205,"burdigalian",11263,-82.2202,29.321,9,1
"124361",179131,"col","Chipola",-85.2,30.42,"Chipola 09",NA,"CA 018",1,"Burdigalian","",20.44,15.97,57818,"gp_mid",-77.83,33.06,"109",18.205,"burdigalian",32960,-82.2202,29.321,9,1
"124632",179578,"col","Gran Bajo del Gualicho",-65.25,-40.38,"Gran Bajo del Gualicho, Basal Layers",NA,"",34,"Burdigalian","",20.44,15.97,59467,"gp_mid",-62,-39.93,"291",18.205,"burdigalian",33017,-59.8216,-42.3318,9,1
"124633",179579,"col","Gran Bajo del Gualicho",-65.25,-40.38,"Gran Bajo del Gualicho, Medial Layers",NA,"",7,"Burdigalian","",20.44,15.97,59467,"gp_mid",-62,-39.93,"291",18.205,"burdigalian",33017,-59.8216,-42.3318,9,1
"124683",179631,"col","Chipola",-80.79,28.57,"CAS Loc. 578. Alum Bluff, Apalachicola River left bank, 3.5 miles N. of Bristow",NA,"",3,"Burdigalian","",20.44,15.97,59507,"gp_mid",-73.54,30.85,"109",18.205,"burdigalian",33035,-78.6624,26.6401,9,1
"124738",179695,"col","Chipola",-85.16,30.47,"TU 553 - mouth of Farley Creek, Chipola River",NA,"",1,"Burdigalian","",20.44,15.97,57818,"gp_mid",-77.78,33.11,"109",18.205,"burdigalian",33052,-82.2202,29.321,9,1
"124739",179696,"col","Chipola",-85.16,30.46,"TU 819 - Farley Creek, south bank, 0.2 miles west of Fla Hwy 275",NA,"",6,"Burdigalian","",20.44,15.97,57818,"gp_mid",-77.78,33.11,"109",18.205,"burdigalian",15330,-82.2202,29.321,9,1
"124740",179697,"col","Baitoa",-70.65,19.12,"TU 1443, Río Yaque del Norte, Lopez, just upstream from mouth of Arroyo Lopez",NA,"",1,"Burdigalian","",20.44,15.97,57818,"gp_mid",-66.48,20.44,"252",18.205,"burdigalian",33053,-70.9139,18.5857,9,1
"124764",179723,"col","Cantaure",-70.03,11.95,"USGS 23888.  6.2 km WNW of San José de Cordite, Paraguaná Peninsula",NA,"",15,"Burdigalian","",20.44,15.97,59576,"gp_mid",-64.42,12.55,"203",18.205,"burdigalian",33058,-70.8445,9.221,9,1
"124888",179849,"col","Kurosedani",137.18,36.58,"Dogawara, Zuhara, Osawano-machi",NA,"",1,"Burdigalian","",20.44,15.97,59662,"gp_mid",134.36,36.48,"610",18.205,"burdigalian",33092,135.6344,40.5926,9,1
"124889",179850,"col","Tochizu",137.18,36.58,"Miyaji, Gohyakukoku, Tateyama-machi",NA,"",1,"Burdigalian","",20.44,15.97,59662,"gp_mid",134.36,36.48,"610",18.205,"burdigalian",33092,135.6344,40.5926,9,1
"124891",179852,"col","Kurosedani",137.18,36.58,"Tsuzara, near Sasazu in Etchu",NA,"",1,"Burdigalian","",20.44,15.97,59667,"gp_mid",134.36,36.48,"610",18.205,"burdigalian",33092,135.6344,40.5926,9,1
"125009",179972,"col","Lacui",-73.75,-41.74,"Punta Chocoi",NA,"",1,"Burdigalian","",20.44,15.97,59729,"gp_mid",-70.5,-40.96,"291",18.205,"burdigalian",33143,-71.4618,-44.9501,9,1
"125013",179976,"col","Lacui",-74.12,-42.69,"Cucao",NA,"",3,"Burdigalian","",20.44,15.97,59729,"gp_mid",-70.93,-41.89,"291",18.205,"burdigalian",33146,-71.4618,-44.9501,9,1
"125134",180408,"col","Olcese",-119,35.6,"Probably near Mount Poso oil field",NA,"",1,"Burdigalian","",20.44,15.97,59868,"gp_mid",-109.89,39.24,"130",18.205,"burdigalian",33185,-112.7967,32.8799,9,1
"125137",180411,"col","Chipola",-85.17,30.49,"Ten Mile Creek, Chipola River",NA,"Tenmile Creek",1,"Burdigalian","",20.44,15.97,59868,"gp_mid",-77.78,33.13,"109",18.205,"burdigalian",33187,-82.2202,29.321,9,1
"125138",180412,"col","Chipola",-85.2,30.5,"Highway 84 bridge, Tenmile Creek",NA,"",1,"Burdigalian","",20.44,15.97,27587,"gp_mid",-77.82,33.15,"109",18.205,"burdigalian",33188,-82.2202,29.321,9,1
"125165",180438,"col","Olcese",-118.86,35.51,"LSJU loc. 328, Coffee Canyon",NA,"",1,"Burdigalian","",20.44,15.97,54367,"gp_mid",-109.75,39.15,"130",18.205,"burdigalian",33202,-112.7967,32.8799,9,1
"125795",181413,"col","Cantaure",-70.01,11.93,"El Yacural 2",NA,"",1,"Burdigalian","",20.44,15.97,60350,"gp_mid",-64.4,12.53,"203",18.205,"burdigalian",33347,-70.8445,9.221,9,1
"128811",186096,"col","Lacui",-74.12,-42.69,"Cucao, Chiloe Island (Feldmann locality)",NA,"",1,"Burdigalian","",20.44,15.97,14404,"gp_mid",-70.93,-41.89,"291",18.205,"burdigalian",33146,-71.4618,-44.9501,9,1
"128863",186455,"col","",39.4,44.8,"Voskovaya Mount",NA,"",0,"Burdigalian","",20.44,15.97,59519,"gp_mid",39.86,41.03,"302",18.205,"burdigalian",34116,36.9977,44.6693,9,1
"128864",186456,"col","Sakaraul Horizon",39.81,44.38,"Shirvanskaya",NA,"",1,"Burdigalian","",20.44,15.97,59519,"gp_mid",40.25,40.61,"302",18.205,"burdigalian",34117,36.9977,44.6693,9,1
"128866",186458,"col","",41.23,44.01,"Urup River",NA,"",3,"Burdigalian","",20.44,15.97,59519,"gp_mid",41.59,40.26,"302",18.205,"burdigalian",34118,36.9977,44.6693,9,1
"128867",186459,"col","",44.09,43.42,"Chyornaya River",NA,"",0,"Burdigalian","",20.44,15.97,59519,"gp_mid",44.3,39.68,"402",18.205,"burdigalian",34119,40.9199,42.3256,9,1
"128868",186460,"col","",48.13,42.29,"Ullu-Chai",NA,"",0,"Burdigalian","",20.44,15.97,59519,"gp_mid",48.14,38.59,"402",18.205,"burdigalian",34120,44.6583,42.479,9,1
