"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"67631",134260,"col","",174.693848,-38.673489,"GS 12583, Awakino Gorge (R17/f067)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",86.22,-66.63,"806",1,203.6,"rhaetian",1
"67725",134371,"col","",174.69606,-38.669849,"AU 342, Awakino Gorge (R17/f422)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",86.23,-66.63,"806",1,203.6,"rhaetian",1
"67726",134372,"col","",174.946747,-38.5522,"AU 566, Mokau River (R17/f482)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",86.56,-66.82,"806",1,203.6,"rhaetian",1
"67741",134388,"col","",174.703995,-38.6357,"AU 317, Taumatamaire Road (R17/f8560)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",86.32,-66.64,"806",1,203.6,"rhaetian",1
"67752",134399,"col","Ngutunui",174.693298,-38.670921,"AU 341, Awakino Gorge (R17/f8574)",NA,"",4,"Otapirian","",205.6,201.6,43142,"gp_mid",86.23,-66.63,"806",1,203.6,"rhaetian",1
"67753",134400,"col","Ngutunui",174.693298,-38.670898,"AU 7857, Awakino Gorge (R17/f8574)",NA,"",2,"Otapirian","",205.6,201.6,43142,"gp_mid",86.23,-66.63,"806",1,203.6,"rhaetian",1
"67763",134410,"col","",174.69725,-38.67519,"GS 914, Awakino Gorge (R18/f6038)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",86.22,-66.63,"806",1,203.6,"rhaetian",1
"67765",134412,"col","",174.694107,-38.674351,"AU 386, Awakino Gorge (R18/f6562)",NA,"",2,"Otapirian","",205.6,201.6,43142,"gp_mid",86.22,-66.63,"806",1,203.6,"rhaetian",1
"67766",134413,"col","",174.694107,-38.674351,"JDC 1091, Awakino Gorge (R18/f6562)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",86.22,-66.63,"806",1,203.6,"rhaetian",1
"67767",134414,"col","",174.694107,-38.674351,"JDC 2724, Awakino Gorge (R18/f6562)",NA,"",2,"Otapirian","",205.6,201.6,43142,"gp_mid",86.22,-66.63,"806",1,203.6,"rhaetian",1
"67768",134415,"col","",174.673065,-38.67585,"AU 327, Awakino Gorge (R18/f6563)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",86.21,-66.62,"806",1,203.6,"rhaetian",1
"67769",134416,"col","",174.682541,-38.675091,"AU 335, Awakino River (R18/f6569)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",86.22,-66.62,"806",1,203.6,"rhaetian",1
"67770",134417,"col","Ngutunui",174.686905,-38.674198,"AU 339, Awakino River (R18/f6573)",NA,"",2,"Otapirian","",205.6,201.6,43142,"gp_mid",86.22,-66.63,"806",1,203.6,"rhaetian",1
"67771",134418,"col","",174.690002,-38.674999,"GS 7587, Awakino Gorge (R18/f6612)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",86.22,-66.63,"806",1,203.6,"rhaetian",1
"67772",134419,"col","",175.05867,-37.815479,"AU 463, Maungaokahu Stream (S14/f8610)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",88.44,-66.86,"806",1,203.6,"rhaetian",1
"67773",134421,"col","",175.067795,-37.852581,"AU 467, Unungaroha Stream (S14/f8614)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",88.35,-66.87,"806",1,203.6,"rhaetian",1
"67796",134444,"col","",172.988037,-41.492249,"GS 196, 88 Valley (N28/f7454)",NA,"",2,"Otapirian","",205.6,201.6,43142,"gp_mid",79.26,-65.35,"806",1,203.6,"rhaetian",1
"67797",134445,"col","",172.988037,-41.492249,"GS 197, 88 Valley (N28/f7455)",NA,"",2,"Otapirian","",205.6,201.6,43142,"gp_mid",79.26,-65.35,"806",1,203.6,"rhaetian",1
"67809",134467,"col","",172.993362,-41.48642,"GS 4551, Ram Stream (N28/f7514)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",79.27,-65.36,"806",1,203.6,"rhaetian",1
"67810",134468,"col","",172.990082,-41.486462,"GS 4555, Ram Stream (N28/f7518)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",79.27,-65.35,"806",1,203.6,"rhaetian",1
"67812",134470,"col","",172.985825,-41.491451,"GS 4594, Ram Stream (N28/f7531)",NA,"",1,"Otapirian","",205.6,201.6,43142,"gp_mid",79.26,-65.35,"806",1,203.6,"rhaetian",1
"67820",134478,"col","",172.990082,-41.486462,"JDC 792, Ram Creek (N28/f7584)",NA,"",2,"Otapirian","",205.6,201.6,43142,"gp_mid",79.27,-65.35,"806",1,203.6,"rhaetian",1
"68922",135946,"col","Tyaughton",-122.974998,51.07,"7500 feet north of Tyaughton creek",NA,"",3,"Rhaetian","",208.5,201.3,43487,"gp_mid",-53.65,21.94,"127",1,204.9,"rhaetian",1
"68923",135947,"col","Tyaughton",-123.010002,51.084999,"Last Creek, Taseko Lakes area",NA,"",1,"Rhaetian","",208.5,201.3,43487,"gp_mid",-53.68,21.94,"127",1,204.9,"rhaetian",1
"68924",135948,"col","Tyaughton",-122.964996,51.005001,"Ridge east of south end of Spruce Lake",NA,"",2,"Rhaetian","",208.5,201.3,43487,"gp_mid",-53.61,21.89,"127",1,204.9,"rhaetian",1
"68925",135949,"col","Tyaughton",-122.970001,51.049999,"Tyaughton creek valley",NA,"",1,"Rhaetian","",208.5,201.3,43487,"gp_mid",-53.63,21.92,"127",1,204.9,"rhaetian",1
"68926",135950,"col","Tyaughton",-122.949997,51.080002,"Northeast of Tyaughton Creek at the mouth of Small Creek",NA,"",1,"Rhaetian","",208.5,201.3,43487,"gp_mid",-53.64,21.96,"127",1,204.9,"rhaetian",1
"68927",135951,"col","Tyaughton",-122.949997,51.080002,"Ridge at the head of Grizzly Creek",NA,"",2,"Rhaetian","",208.5,201.3,43487,"gp_mid",-53.64,21.96,"127",1,204.9,"rhaetian",1
"68929",135953,"col","Tyaughton",-122.964996,51.044998,"Tyaughton Creek, 0.75 miles above Spruce Lake Creek",NA,"",3,"Rhaetian","",208.5,201.3,43487,"gp_mid",-53.63,21.92,"127",1,204.9,"rhaetian",1
"68930",135954,"col","Tyaughton",-122.964996,51.044998,"1100 feet north of Tyaughton Creek at mouth of Camp Creek",NA,"",2,"Rhaetian","",208.5,201.3,43487,"gp_mid",-53.63,21.92,"127",1,204.9,"rhaetian",1
