"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"25911",90084,"col","Port Willunga",138.48,-35.28,"Maslin's Beach [Ruwarung Mbr, Port Willunga Fm]",NA,"",2,"Early Oligocene","",33.9,28.4,30216,"gp_mid",145.21,-51.47,"801",31.15,"rupelian",5657,134.4656,-51.499,12,1
"26142",43064,"col","",-98.83,26.27,"USGS 13505 - Tamaulipas, Mexico (Lower Marine Sandstone, Oligocene",NA,"USGS 13505",8,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.06,31.22,"101",31.15,"rupelian",5714,-90.7536,27.1906,12,1
"26143",43065,"col","",-99.17,25.8,"USGS 13518 - Nuevo Leon, Mexico (Lower Marine Sandstone, Oligocene)",NA,"USGS 13518",7,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.48,30.8,"101",31.15,"rupelian",5715,-91.0045,24.7008,12,1
"26144",43066,"col","",-99.17,25.8,"USGS 13521 - Nuevo Leon, Mexico (Lower Marine Sandstone, Oligocene)",NA,"USGS 13521",2,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.48,30.8,"101",31.15,"rupelian",5715,-91.0045,24.7008,12,1
"26145",43067,"col","",-99.17,25.8,"USGS 13509 - Nuevo Leon, Mexico (Lower Marine Sandstone, Oligocene)",NA,"USGS 13509",9,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.48,30.8,"101",31.15,"rupelian",5715,-91.0045,24.7008,12,1
"26146",43068,"col","",-99.17,25.8,"USGS 13510 - Rancho La Copa, Zacate",NA,"",13,"Rupelian","",33.9,28.1,27257,"gp_mid",-87.48,30.8,"101",31,"rupelian",5715,-91.0045,24.7008,12,1
"26147",43069,"col","",-99.17,25.8,"USGS 13511 - Nuevo Leon, Mexico (Lower Marine Sandstone, Oligocene)",NA,"USGS 13511",6,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.48,30.8,"101",31.15,"rupelian",5715,-91.0045,24.7008,12,1
"26148",43070,"col","",-99.17,25.8,"USGS 13522 - Nuevo Leon, Mexico (Lower Marine Sandstone, Oligocene)",NA,"USGS 13522",3,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.48,30.8,"101",31.15,"rupelian",5715,-91.0045,24.7008,12,1
"26155",43077,"col","",-99.17,25.8,"USGS 14056 - Nuevo Leon, Mexico (Lower Marine Sandstone, Oligocene)",NA,"USGS 14056",8,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.48,30.8,"101",31.15,"rupelian",5715,-91.0045,24.7008,12,1
"26156",43078,"col","",-99.17,25.8,"USGS 13531 - Nuevo Leon, Mexico (Lower Marine Sandstone, Oligocene)",NA,"USGS 13531",1,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.48,30.8,"101",31.15,"rupelian",5715,-91.0045,24.7008,12,1
"26157",43079,"col","",-99.17,25.8,"USGS 13537, Zacate, General Bravo",NA,"",3,"Rupelian","",33.9,28.1,27257,"gp_mid",-87.48,30.8,"101",31,"rupelian",5715,-91.0045,24.7008,12,1
"26158",43080,"col","",-99.17,25.8,"USGS 14023- Nuevo Leon, Mexico (Lower Marine Sandstone, Oligocene)",NA,"USGS 14023",5,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.48,30.8,"101",31.15,"rupelian",5715,-91.0045,24.7008,12,1
"26159",43081,"col","",-99.17,25.8,"USGS 13517 - Nuevo Leon, Mexico (Lower Marine Sandstone, Oligocene)",NA,"USGS 13517",1,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.48,30.8,"101",31.15,"rupelian",5715,-91.0045,24.7008,12,1
"26160",43082,"col","",-99.17,25.8,"USGS 13535 - Nuevo Leon, Mexico (Lower Marine Sandstone, Oligocene)",NA,"USGS 13535",3,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.48,30.8,"101",31.15,"rupelian",5715,-91.0045,24.7008,12,1
"26161",43083,"col","",-99.17,25.8,"USGS 13539 - Nuevo Leon, Mexico (Lower Marine Sandstone, Oligocene)",NA,"USGS 13539",11,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.48,30.8,"101",31.15,"rupelian",5715,-91.0045,24.7008,12,1
"26162",43084,"col","",-99.23,25.7,"USGS 13532 - Nuevo Leon, Mexico (Lower Marine Sandstone, Oligocene)",NA,"USGS 13532",2,"Early Oligocene","",33.9,28.4,7474,"gp_mid",-87.56,30.71,"101",31.15,"rupelian",5716,-91.0045,24.7008,12,1
"28044",45429,"col","Aluginskaya",165.92,60.42,"Gulf of Korfa, Eastern Kamchatka (I)",NA,"",26,"Early Oligocene","",33.9,28.4,11836,"gp_mid",161.55,65.73,"485",31.15,"rupelian",6313,166.9355,63.994,12,1
"28045",45430,"col","Aluginskaya",165.92,60.42,"Gulf of Korfa, Eastern Kamchatka (II)",NA,"",44,"Early Oligocene","",33.9,28.4,11836,"gp_mid",161.55,65.73,"485",31.15,"rupelian",6313,166.9355,63.994,12,1
"28115",45500,"col","Ashley",-80.09,32.96,"Woodstock Station",NA,"",8,"Rupelian","",33.9,28.1,11915,"gp_mid",-66.58,35.42,"109",31,"rupelian",6349,-71.7627,30.7029,12,1
"28342",45777,"col","Ashley",-80.15,32.97,"Chandler Bridge Creek (Ashley Fm.)",NA,"",16,"Rupelian","",33.9,28.1,12126,"gp_mid",-66.64,35.43,"109",31,"rupelian",6459,-71.7627,30.7029,12,1
"28347",45740,"col","",49.26,40.5,"Dzhangi",NA,"Djenghi, Dzhengichai",5,"Rupelian","",33.9,28.1,12216,"gp_mid",49.69,34.97,"402",31,"rupelian",6461,43.4192,40.077,12,1
"28369",45761,"col","Ashley",-80.13,32.9,"Greer's Landing",NA,"",1,"Rupelian","",33.9,28.1,47600,"gp_mid",-66.64,35.36,"109",31,"rupelian",6470,-71.7627,30.7029,12,1
"28385",45778,"col","Ashley",-80.15,32.96,"Eagle Creek, Ashley Formation",NA,"",1,"Rupelian","",33.9,28.1,12126,"gp_mid",-66.64,35.43,"109",31,"rupelian",6473,-71.7627,30.7029,12,1
"28409",45805,"col","Makah",-124.42,48.3,"LACMVP 5982",NA,"",6,"Rupelian","",33.9,28.1,12149,"gp_mid",-107.33,53.36,"129",31,"rupelian",6487,-114.3346,48.667,12,1
"28410",45806,"col","Makah",-124.42,48.3,"LACMVP 5983",NA,"",3,"Rupelian","",33.9,28.1,12149,"gp_mid",-107.33,53.36,"129",31,"rupelian",6487,-114.3346,48.667,12,1
"28411",45807,"col","Makah",-124.43,48.3,"LACMVP 5984",NA,"",2,"Rupelian","",33.9,28.1,12149,"gp_mid",-107.34,53.36,"129",31,"rupelian",6488,-114.3346,48.667,12,1
"28412",45808,"col","Makah",-124.41,48.29,"CSUN 1579, UWBM loc. C1660",NA,"",5,"Rupelian","",33.9,28.1,12149,"gp_mid",-107.31,53.35,"129",31,"rupelian",6489,-114.3346,48.667,12,1
"28417",45812,"col","Lincoln Creek",-123.4,47.25,"LACMVP 6290",NA,"Matlock",1,"Rupelian","",33.9,28.1,48554,"gp_mid",-106.31,52.27,"129",31,"rupelian",6494,-114.3346,48.667,12,1
"28428",45823,"col","Buccleuch",139.45,-35.28,"Fred's Landing",NA,"Tailem Bend",18,"Rupelian","",33.9,28.1,12172,"gp_mid",146.44,-51.28,"801",31,"rupelian",6499,134.4656,-51.499,12,1
"28429",45824,"col","Port Willunga",138.45,-35.32,"Port Willunga cliffs",NA,"",2,"Rupelian","",33.9,28.1,12172,"gp_mid",145.18,-51.51,"801",31,"rupelian",6500,134.4656,-51.499,12,1
"28623",46092,"col","Rupel",9.52,53.92,"Itezhoe",NA,"",1,"Early Oligocene","",33.9,28.4,12298,"gp_mid",13.81,48.49,"315",31.15,"rupelian",6577,4.9231,52.6454,12,1
"28631",46100,"col","Rupel",11.97,51.75,"Köthen",NA,"",1,"Rupelian","",33.9,28.1,12298,"gp_mid",15.83,46.24,"315",31,"rupelian",6583,5.2844,50.1555,12,1
"30986",48625,"col","Glen Aire Clay",143.52,-38.85,"Point Flinders, Cape Otway, Victoria (lower Glen Aire Clay)",NA,"lower Glen Aire Clay",11,"Early Oligocene","",33.9,28.4,12938,"gp_mid",153.17,-53.83,"801",31.15,"rupelian",7317,140.4245,-56.1371,12,1
"32032",50155,"col","Hump Ridge Coal Measures",167.32,-46.5,"S167/f582",NA,"GS 4987",7,"Rupelian","",33.9,28.1,13481,"gp_mid",-169.61,-48.05,"807",31,"rupelian",7651,-178.3246,-54.3598,12,1
"32104",50344,"col","",25.12,45.24,"Suslanesti",NA,"",39,"Rupelian","",33.9,28.1,62759,"gp_mid",27.83,35.7,"308",31,"rupelian",7677,20.6555,43.5616,12,1
"35934",55520,"col","Ashley",-79.83,32.93,"Wando River",NA,"",1,"Rupelian","",33.9,28.1,14985,"gp_mid",-66.32,35.35,"109",31,"rupelian",8765,-71.7627,30.7029,12,1
"36017",65173,"col","",12.37,51.34,"Leipzig",NA,"Weisselsterbecken",9,"Rupelian","",33.9,28.1,18782,"gp_mid",16.16,45.82,"305",31,"rupelian",8787,5.2844,50.1555,12,1
