"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"19245",33707,"col","El Cholo",-70.03,-32.28,"A2-Arroyo La Laguna, Bed 438, San Juan",NA,"",3,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",178.4,"toarcian",3839,-24.1894,-36.8566,39,1
"19246",33708,"col","",-70.03,-32.28,"A2-Arroyo La Laguna, Bed 445, San Juan",NA,"",1,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",178.4,"toarcian",3839,-24.1894,-36.8566,39,1
"19248",33710,"col","",-70.03,-32.28,"A2-Arroyo La Laguna, Bed 448, San Juan",NA,"",3,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",178.4,"toarcian",3839,-24.1894,-36.8566,39,1
"19249",33711,"col","",-70.03,-32.28,"A2-Arroyo La Laguna, Bed 449, San Juan",NA,"",1,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",178.4,"toarcian",3839,-24.1894,-36.8566,39,1
"19292",33754,"col","Puchenque",-69.92,-35.43,"B8-Arroyo Serrucho, Bed 1344, Mendoza",NA,"",1,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.3,-35.77,"291",178.4,"toarcian",3845,-23.2118,-39.2351,39,1
"19293",33755,"col","Puchenque",-69.92,-35.43,"B8-Arroyo Serrucho, Beds1346-1347, Mendoza",NA,"",8,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.3,-35.77,"291",178.4,"toarcian",3845,-23.2118,-39.2351,39,1
"19294",33756,"col","Puchenque",-69.92,-35.43,"B8-Arroyo Serrucho, Beds 1348-1351, Mendoza",NA,"",11,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.3,-35.77,"291",178.4,"toarcian",3845,-23.2118,-39.2351,39,1
"19295",33757,"col","Puchenque",-69.92,-35.43,"B8-Arroyo Serrucho, Bed 1352, Mendoza",NA,"",6,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.3,-35.77,"291",178.4,"toarcian",3845,-23.2118,-39.2351,39,1
"19296",33758,"col","Puchenque",-69.92,-35.43,"B8-Arroyo Serrucho, Bed 1353, Mendoza",NA,"",4,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.3,-35.77,"291",178.4,"toarcian",3845,-23.2118,-39.2351,39,1
"19330",33792,"col","Puchenque",-69.92,-35.48,"B9-Cerro Puchenque (I), Bed 332-335, Mendoza",NA,"",7,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.29,-35.82,"291",178.4,"toarcian",3847,-23.2118,-39.2351,39,1
"19332",33794,"col","Puchenque",-69.92,-35.48,"B9-Cerro Puchenque (I), Bed 336, Mendoza",NA,"",7,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.29,-35.82,"291",178.4,"toarcian",3847,-23.2118,-39.2351,39,1
"19338",33800,"col","",-70.18,-35.52,"B11-Cerro Tricolor, Bed 805, Mendoza",NA,"",9,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.54,-35.91,"291",178.4,"toarcian",3848,-23.2118,-39.2351,39,1
"19340",33802,"col","",-70.18,-35.52,"B11-Cerro Tricolor, Beds 806-807, Mendoza",NA,"",10,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.54,-35.91,"291",178.4,"toarcian",3848,-23.2118,-39.2351,39,1
"19349",33811,"col","",-69.98,-35.95,"B12-Arroyo Poti Malal, Bed 800, Mendoza",NA,"",5,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.21,-36.29,"291",178.4,"toarcian",3849,-23.2118,-39.2351,39,1
"19350",33812,"col","",-69.98,-35.95,"B12-Arroyo Poti Malal, Bed 803, Mendoza",NA,"",3,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.21,-36.29,"291",178.4,"toarcian",3849,-23.2118,-39.2351,39,1
"19352",33814,"col","",-69.98,-35.95,"B12-Arroyo Poti Malal, Bed 812, Mendoza",NA,"",1,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.21,-36.29,"291",178.4,"toarcian",3849,-23.2118,-39.2351,39,1
"19353",33815,"col","",-69.98,-35.95,"B12-Arroyo Poti Malal, Bed 818, Mendoza",NA,"",4,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.21,-36.29,"291",178.4,"toarcian",3849,-23.2118,-39.2351,39,1
