"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"28938",46411,"col","Naujoji Akmené",21.833332,55.783333,"Borehole Luknénai 29, Naujoji Akmené Suite",NA,"",26,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.66,30.78,"302",257.035,1
"28939",46412,"col","Naujoji Akmené",24.9,54.366669,"Borehole Darguziai 50, Naujoji Akmené Suite",NA,"",8,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",38.1,29.98,"302",257.035,1
"28940",46413,"col","Naujoji Akmené",22.666668,55.783333,"Borehole Uzhventis, Naujoji Akmené Suite",NA,"",4,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.18,30.92,"302",257.035,1
"28941",46414,"col","Naujoji Akmené",22.783333,54.416668,"Borehole Vistytis 17, Naujoji Akmené Suite",NA,"",27,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.73,29.64,"302",257.035,1
"28942",46415,"col","Naujoji Akmené",22.75,54.650002,"Borehole Kybartai 30, Naujoji Akmené Suite",NA,"",4,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.63,29.85,"302",257.035,1
"28943",46416,"col","Naujoji Akmené",24.25,54.666668,"Borehole Kernavé 199, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.58,30.14,"302",257.035,1
"28945",46418,"col","Naujoji Akmené",21.4,55.700001,"Borehole Gargzdai 40, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.41,30.62,"302",257.035,1
"28946",46419,"col","Naujoji Akmené",24.233334,54.766666,"Borehole Kruonis 196, Naujoji Akmené Suite",NA,"",7,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.53,30.23,"302",257.035,1
"28951",46424,"col","Naujoji Akmené",22.066668,54.533333,"Borehole Mayakovskoye 2, Naujoji Akmené Suite",NA,"",2,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.24,29.62,"302",257.035,1
"28952",46425,"col","Naujoji Akmené",22,54.666668,"Borehole Lermontovo 2, Naujoji Akmené Suite",NA,"",9,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.15,29.74,"302",257.035,1
"28953",46426,"col","Naujoji Akmené",24.166668,54.666668,"Borehole Pashvyantupis 199, Naujoji Akmené Suite",NA,"",7,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.52,30.13,"302",257.035,1
"28955",46428,"col","Naujoji Akmené",24.133333,54.516666,"Borehole Punia 3, Naujoji Akmené Suite",NA,"",9,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.56,29.98,"302",257.035,1
"28956",46429,"col","Naujoji Akmené",24.25,54.666668,"Borehole Kernavé 191, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",37.58,30.14,"302",257.035,1
"28957",46430,"col","Naujoji Akmené",22.75,55.083332,"Borehole Yurbarkas 36, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.48,30.27,"302",257.035,1
"28959",46431,"col","Naujoji Akmené",22.25,54.716667,"Borehole Mayskoye 2, Naujoji Akmené Suite",NA,"",5,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.29,29.83,"302",257.035,1
"28960",46432,"col","Naujoji Akmené",22,54.666668,"Borehole Lermontovo 3, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",36.15,29.74,"302",257.035,1
"28980",46452,"col","Naujoji Akmené",21.933332,55.733334,"Borehole Rietavas 34, Naujoji Akmené Suite",NA,"",1,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.74,30.75,"302",257.035,1
"28981",46453,"col","Naujoji Akmené",24.700001,54.183334,"Borehole Barciai 61, Naujoji Akmené Suite",NA,"",2,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",38.04,29.77,"302",257.035,1
"28988",46461,"col","Naujoji Akmené",21.133333,55.700001,"Borehole Smiltyné, Naujoji Akmené Suite",NA,"",2,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.25,30.58,"302",257.035,1
"28993",46466,"col","Naujoji Akmené",21.200001,55.799999,"Borehole Kretingalé, Naujoji Akmené Suite",NA,"",2,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",35.26,30.69,"302",257.035,1
"29011",46486,"col","Naujoji Akmené",24.966667,54.633331,"Borehole Senieji Trakai 45, Naujoji Akmené Suite",NA,"",8,"Wuchiapingian","",259.9,254.17,12313,"gp_mid",38.04,30.24,"302",257.035,1
