"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"25013",41703,"col","Gevanim",34.816666,30.6,"Makhtesh Ramon, USGS Mesozoic loc. 29194 (= collection 18)",NA,"",2,"Anisian","",247.2,242,11163,"gp_mid",39.06,-3.36,"508",244.6,1
"25014",41704,"col","Gevanim",34.816666,30.6,"Makhtesh Ramon, USGS Mesozoic loc. 29195 (= collection 19)",NA,"",1,"Anisian","",247.2,242,11163,"gp_mid",39.06,-3.36,"508",244.6,1
"25363",42100,"col","Qingyan",108.72583,26.924168,"Leidapo LL-01",NA,"",3,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25364",42101,"col","Qingyan",108.72583,26.924168,"Leidapo LL-02",NA,"",3,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25365",42102,"col","Qingyan",108.72583,26.924168,"Leidapo LL-04",NA,"",1,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25366",42103,"col","Qingyan",108.72583,26.924168,"Leidapo ML-06",NA,"",6,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25526",42276,"col","Qingyan",108.72583,26.924168,"Leidapo ML-08",NA,"",16,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25527",42277,"col","Qingyan",108.72583,26.924168,"Leidapo ML-11-14",NA,"",24,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25529",42279,"col","Qingyan",108.72583,26.924168,"Leidapo ML-19",NA,"",15,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25530",42280,"col","Qingyan",108.72583,26.924168,"Leidapo ML-20",NA,"",19,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25532",42282,"col","Qingyan",108.72583,26.924168,"Leidapo ML-24-25",NA,"",5,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25534",42284,"col","Qingyan",108.72583,26.924168,"Leidapo ML-26",NA,"",13,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25584",42368,"col","Qingyan",108.72583,26.924168,"Leidapo ML-29",NA,"",23,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25585",42369,"col","Qingyan",108.72583,26.924168,"Leidapo ML-31-33",NA,"",8,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25586",42370,"col","Qingyan",108.72583,26.924168,"Leidapo ML-36",NA,"",2,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25587",42371,"col","Qingyan",108.72583,26.924168,"Leidapo ML-37",NA,"",9,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25588",42372,"col","Qingyan",108.72583,26.924168,"Leidapo ML-38",NA,"",2,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25589",42373,"col","Qingyan",108.72583,26.924168,"Leidapo ML-39",NA,"",1,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25590",42374,"col","Qingyan",108.72583,26.924168,"Leidapo ML-42",NA,"",2,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25591",42375,"col","Qingyan",108.72583,26.924168,"Leidapo ML-43",NA,"",5,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25592",42376,"col","Qingyan",108.72583,26.924168,"Leidapo ML-44",NA,"",2,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25593",42377,"col","Qingyan",108.72583,26.924168,"Leidapo ML-45",NA,"",7,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"25594",42378,"col","Qingyan",108.72583,26.924168,"Leidapo ML-46",NA,"",2,"Anisian","",247.2,242,11210,"gp_mid",110.73,-8.99,"611",244.6,1
"26713",43849,"col","Schei Point",-95.870003,77.220001,"GSC 30339, Exmouth Island",NA,"",2,"Aegean","",247.2,242,11541,"gp_mid",-1.74,53.29,"106",244.6,1
"26714",43850,"col","Schei Point",-95.870003,77.220001,"GSC 30341, Exmouth Island",NA,"",2,"Illyrian","",247.2,242,11541,"gp_mid",-1.74,53.29,"106",244.6,1
"26812",44048,"col","Blaa Mountain",-89.25,80.910004,"GSC 47550, Spath Creek (SCN), Ellesmere Island",NA,"",2,"Aegean","",247.2,242,11563,"gp_mid",3.92,55.35,"106",244.6,1
"26861",44107,"col","",69.150002,33.75,"Kotal-e-Tera Pass, Pakhtia Province, Collection A1-2",NA,"",5,"Bithynian","",247.2,242,11170,"gp_mid",69.95,-22.2,"506",244.6,1
"26874",44128,"col","",69.150002,33.75,"Kotal-e-Tera Pass, Pakhtia Province, Collection A4",NA,"",1,"Bithynian","",247.2,242,11170,"gp_mid",69.95,-22.2,"506",244.6,1
"26956",44246,"col","Qingyan",106.684998,26.344,"Yinshanpo KC259a, Qingyan",NA,"",4,"Pelsonian","Illyrian",247.2,242,48616,"gp_mid",108.93,-9.69,"611",244.6,1
"26957",44247,"col","Qingyan",106.684998,26.344,"Yinshanpo KC259b, Qingyan",NA,"",17,"Pelsonian","Illyrian",247.2,242,48616,"gp_mid",108.93,-9.69,"611",244.6,1
"26958",44248,"col","Qingyan",106.684998,26.344,"Yinshanpo KC259c, Qingyan",NA,"",12,"Pelsonian","Illyrian",247.2,242,48616,"gp_mid",108.93,-9.69,"611",244.6,1
"26959",44249,"col","Qingyan",106.684998,26.344,"Yinshanpo KC260, Qingyan",NA,"",3,"Pelsonian","Illyrian",247.2,242,48616,"gp_mid",108.93,-9.69,"611",244.6,1
"26960",44250,"col","Qingyan",106.684998,26.344,"Yinshanpo KC260a, Qingyan",NA,"",16,"Pelsonian","Illyrian",247.2,242,48616,"gp_mid",108.93,-9.69,"611",244.6,1
"26961",44251,"col","Qingyan",106.684998,26.344,"Yinshanpo KC260b, Qingyan",NA,"",4,"Pelsonian","Illyrian",247.2,242,48616,"gp_mid",108.93,-9.69,"611",244.6,1
"26962",44252,"col","Qingyan",106.684998,26.344,"Yinshanpo KC261, Qingyan",NA,"",31,"Pelsonian","Illyrian",247.2,242,48616,"gp_mid",108.93,-9.69,"611",244.6,1
"26963",44253,"col","Qingyan",106.684998,26.344,"Yinshanpo KC261a, Qingyan",NA,"",4,"Pelsonian","Illyrian",247.2,242,11627,"gp_mid",108.93,-9.69,"611",244.6,1
"26964",44254,"col","Qingyan",106.684998,26.344,"Yinshanpo KC261b, Qingyan",NA,"",2,"Pelsonian","Illyrian",247.2,242,11627,"gp_mid",108.93,-9.69,"611",244.6,1
"26965",44255,"col","Qingyan",106.684998,26.344,"Yinshanpo KC262, Qingyan",NA,"",31,"Pelsonian","Illyrian",247.2,242,48616,"gp_mid",108.93,-9.69,"611",244.6,1
"27049",44347,"col","Qingyan",106.690002,26.245001,"Qingyan, unknown sample",NA,"",7,"Pelsonian","Illyrian",247.2,242,48616,"gp_mid",108.94,-9.79,"611",244.6,1
"27058",44356,"col","Trochitenkalk",8.5,50.75,"Lower Trochitenkalk",NA,"",3,"Illyrian","",247.2,242,11661,"gp_mid",27.71,29.22,"315",244.6,1
"27059",44357,"col","Trochitenkalk",8.5,50.75,"Upper Trochitenkalk",NA,"",38,"Anisian","",247.2,242,11661,"gp_mid",27.71,29.22,"315",244.6,1
"27060",44358,"col","",8.5,50.75,"Tonplatten Facies, Hessen Province",NA,"",40,"Anisian","",247.2,242,11661,"gp_mid",27.71,29.22,"315",244.6,1
"27128",44448,"col","",18.299999,50.516666,"Strzelce Opolskie in Opole Silesia, Poland, Lower Muschelkalk",NA,"",1,"Anisian","",247.2,242,11663,"gp_mid",34.7,30.6,"305",244.6,1
"27133",44453,"col","",168.100006,-44.866669,"D41/f7506 Lake Gunn, Murihiku Supergroup, late Anisian",NA,"",1,"Anisian","",247.2,242,11626,"gp_mid",138.07,-89.12,"807",244.6,1
"27134",44454,"col","",168.091248,-44.89127,"JDC 2182, Lake Gunn (D41/f7513)",NA,"",2,"Anisian","",247.2,242,44073,"gp_mid",136.54,-89.11,"807",244.6,1
"27467",44722,"col","",104.5,29.25,"Leikoupo Fm., Sichuan",NA,"",5,"Anisian","",247.2,242,11685,"gp_mid",106.84,-6.88,"611",244.6,1
"27471",44726,"col","Bojishan",107,26.25,"Bojishan Fm., Guizhou",NA,"",4,"Anisian","",247.2,242,11685,"gp_mid",109.22,-9.77,"611",244.6,1
"28040",45425,"col","Saharonim",34.875999,30.586,"Har Gevanim, Makhtesh Ramon, Subunits 12-15",NA,"",2,"Illyrian","",247.2,242,11164,"gp_mid",39.1,-3.4,"508",244.6,1
"28873",46345,"col","Wellenkalk",9.933333,49.783333,"Wellenkalk, Würzburg, Germany",NA,"",5,"Anisian","",247.2,242,12353,"gp_mid",28.98,28.49,"305",244.6,1
"28889",46361,"col","Ceratites Beds",9.833333,51.5,"Dransfelder Hochfläche, Göttingen, Lower Ceratites Beds",NA,"",6,"Anisian","",247.2,242,12355,"gp_mid",28.45,30.14,"315",244.6,1
"29357",46899,"col","",132,43,"Southern Primorye, Paraceratites trinodosus zone",NA,"",8,"Anisian","",247.2,242,12432,"gp_mid",140.71,21.59,"628",244.6,1
