"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"20515",35307,"col","Alfambra",-2.659722,40.480556,"Peralejos D",NA,"PERD",7,"Vallesian","",11.608,8.7,9527,"gp_mid",-1.27,38.91,"304",10.154,1
"20883",35876,"col","",-1.35,41.116699,"Nombrevilla",NA,"",11,"Vallesian","",11.608,8.7,9640,"gp_mid",0.04,39.51,"304",10.154,1
"20884",35877,"col","",-1.4167,41.116699,"Pedregueras II C",NA,"",10,"Vallesian","",11.608,8.7,9640,"gp_mid",-0.03,39.51,"304",10.154,1
"20885",35880,"col","",-1.4167,41.116699,"Pedregueras I A",NA,"",5,"Vallesian","",11.608,8.7,9640,"gp_mid",-0.03,39.51,"304",10.154,1
"20886",35882,"col","",-1.4167,41.116699,"Pedregueras II A",NA,"",5,"Vallesian","",11.608,8.7,9640,"gp_mid",-0.03,39.51,"304",10.154,1
"21647",36977,"col","",2.483333,42.5,"Lo Fournas 7, Baixas area",NA,"Baixas'",13,"Tortonian","",11.62,7.246,9874,"gp_mid",3.7,40.98,"304",9.433,1
"21648",36978,"col","",2.483333,42.5,"Lo Fournas 6a, Baixas area",NA,"Baixas'",7,"Tortonian","",11.62,7.246,9874,"gp_mid",3.7,40.98,"304",9.433,1
"21649",36979,"col","",2.483333,42.5,"Lo Fournas 6b, Baixas area",NA,"Baixas'",4,"Tortonian","",11.62,7.246,9874,"gp_mid",3.7,40.98,"304",9.433,1
"21713",37047,"col","Ravin de Ratavoux",5.45,43.783333,"Cucuron, at the stadium, sample taken between 1972 and 1976",NA,"",17,"MN 12","",7.75,7.246,9926,"gp_mid",6.32,42.58,"305",7.498,1
"21888",37387,"col","Tachilni",-163.414993,54.850834,"False Pass (M309)",NA,"USGS M309",5,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.94,57.38,"125",9.433,1
"21889",37388,"col","Tachilni",-162.684448,54.983612,"False Pass (M310)",NA,"USGS M310",4,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.17,57.52,"125",9.433,1
"21892",37390,"col","Tachilni",-162.849167,54.978058,"False Pass (M4044)",NA,"USGS M4044",5,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21893",37391,"col","Tachilni",-162.849167,54.978058,"False Pass (M4045)",NA,"USGS M4045",1,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
"21894",37392,"col","Tachilni",-162.849167,54.978058,"False Pass (M5163)",NA,"USGS M5163",7,"Tortonian","",11.62,7.246,10027,"gp_mid",-162.35,57.51,"125",9.433,1
