"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"127067",183620,"col","",-69.62,-27.38,"Quebrada Yerbas Buenas (sample 711212/2)",NA,"",1,"Margaritatus","",189.6,183,59554,"gp_mid",-17.97,-29.97,"291",186.3,"pliensbachian",33418,-23.5627,-32.2271,40,1
"127068",183621,"col","",-69.14,-22.62,"Cerritos Bayos, Loma Larga Sur (sample 830306/3)",NA,"",1,"Margaritatus","",189.6,183,59554,"gp_mid",-19.01,-26.42,"201",186.3,"pliensbachian",33409,-21.824,-26.262,40,1
"127069",183622,"col","",-69.14,-22.62,"Cerritos Bayos, Loma Larga Sur (sample 830306/2)",NA,"",1,"Margaritatus","",189.6,183,59554,"gp_mid",-19.01,-26.42,"201",186.3,"pliensbachian",33409,-21.824,-26.262,40,1
"127070",183623,"col","",-70.38,-39.28,"Arroyo Lapa, Sierra de Chacai Co, pulcherrima horizon (Volkheimer collection)",NA,"",4,"Spinatum","",189.6,183,59554,"gp_mid",-13.66,-41.37,"291",186.3,"pliensbachian",33405,-16.8424,-43.6934,40,1
"129040",186708,"col","Fernie",-114.76,50.89,"Canyon Creek",NA,"",1,"Pliensbachian","",190.8,182.7,62619,"gp_mid",-40.62,32.41,"101",186.75,"pliensbachian",34168,-46.1105,34.4467,40,1
"129052",186720,"col","Numismalismergel",10.1,48.89,"Hüttlingen",NA,"",1,"Pliensbachian","",190.8,182.7,62620,"gp_mid",24.61,40.49,"305",186.75,"pliensbachian",34169,29.1614,45.3353,40,1
"130185",188883,"col","Amaltheenton",8.53,52.1,"Bielefeld, type locality of Arminisaurus schuberti",NA,"",1,"Late Pliensbachian","",189.6,183,63406,"gp_mid",22.39,42.89,"315",186.3,"pliensbachian",34383,24.3466,46.0664,40,1
"130290",189042,"col","",13.05,54.13,"Grimmen clay pit (MV collection, apyrenum subzone)",NA,"",8,"Spinatum","",189.6,183,63520,"gp_mid",24.66,45.86,"315",186.3,"pliensbachian",34405,24.8516,49.3985,40,1
"130336",189121,"col","",8.62,51.12,"Stork 3 clay pit, bed 16",NA,"",1,"Jamesoni","",189.6,183,63536,"gp_mid",22.99,42.01,"315",186.3,"pliensbachian",34409,26.3083,43.9859,40,1
"131350",190858,"col","",-2,51.97,"Stanley Hill, Gretton",NA,"",1,"Margaritatus","",189.6,183,64162,"gp_mid",14.43,40.33,"315",186.3,"pliensbachian",34582,16.3135,42.3612,40,1
"132735",194498,"col","",13.55,47.45,"Section: Rotkogel, Sample Number: 11",NA,"",2,"Jamesoni","",189.6,183,66067,"gp_mid",34.52,30.73,"307",186.3,"pliensbachian",34914,15,47.5,40,1
"132736",194499,"col","",13.55,47.45,"Section: Rotkogel, Sample Number: 12",NA,"",1,"Jamesoni","",189.6,183,66067,"gp_mid",34.52,30.73,"307",186.3,"pliensbachian",34914,15,47.5,40,1
"132737",194500,"col","",13.55,47.45,"Section: Rotkogel, Sample Number: 13",NA,"",2,"Jamesoni","",189.6,183,66067,"gp_mid",34.52,30.73,"307",186.3,"pliensbachian",34914,15,47.5,40,1
