"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number","ext"
"32453",50800,"col","Maiolica",12.54,43.59,"833.0 m, Gorgo-A-Cerbara section (Maiolica Fm)",NA,"",1,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
"32454",50801,"col","Maiolica",12.54,43.59,"839.0 m, Gorgo-A-Cerbara section (Maiolica Fm)",NA,"",1,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
"32455",50802,"col","Maiolica",12.54,43.59,"847.0 m, Gorgo-A-Cerbara section ( Maiolica Fm)",NA,"",2,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
"32456",50803,"col","Maiolica",12.54,43.59,"849.0 m, Gorgo-A-Cerbara section (Maiolica Fm)",NA,"",4,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
"32457",50804,"col","Maiolica",12.54,43.59,"851.5 m, Gorgo-A-Cerbara section (Maiolica Fm)",NA,"",0,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
"32458",50805,"col","Maiolica",12.54,43.59,"853.0 m, Gorgo-A-Cerbara section (Maiolica Fm)",NA,"",2,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
"32459",50806,"col","Maiolica",12.54,43.59,"854.0 m, Gorgo-A-Cerbara section (Maiolica Fm)",NA,"",1,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
"32460",50807,"col","Maiolica",12.54,43.59,"865.0 m, Gorgo-A-Cerbara section (Maiolica Fm)",NA,"Beds 84, 85",1,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
"32461",50808,"col","Maiolica",12.54,43.59,"866.0 m, Gorgo-A-Cerbara section (Maiolica Fm)",NA,"Beds 81",3,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
"32462",50809,"col","Maiolica",12.54,43.59,"869.0 m, Gorgo-A-Cerbara section (Maiolica Fm)",NA,"",1,"Barremian","",129.4,125,13572,"gp_mid",36.88,20.98,"307",127.2,"barremian",7753,30.1303,20.6607,28,1
