"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"39496",92257,"col","Ocala Limestone",-82.167778,29.253611,"M 52",NA,"",5,"Priabonian","",38,33.9,11845,"gp_mid",-67.33,32.02,"109",1,35.95,"priabonian",1
"39497",92258,"col","Ocala Limestone",-83.6325,32.840832,"M 56",NA,"",1,"Priabonian","",38,33.9,11845,"gp_mid",-68.03,35.78,"109",1,35.95,"priabonian",1
"39498",92259,"col","Ocala Limestone",-82.015556,33.09,"M 57",NA,"",1,"Priabonian","",38,33.9,11845,"gp_mid",-66.33,35.77,"109",1,35.95,"priabonian",1
"39499",92260,"col","Ocala Limestone",-82.015556,33.09,"M 58",NA,"",1,"Priabonian","",38,33.9,11845,"gp_mid",-66.33,35.77,"109",1,35.95,"priabonian",1
"39501",92263,"col","Ocala Limestone",-82.41111,30.001667,"M 62",NA,"",1,"Priabonian","",38,33.9,11845,"gp_mid",-67.42,32.79,"109",1,35.95,"priabonian",1
"39504",92266,"col","Ocala Limestone",-83.498611,32.800556,"M 65",NA,"",1,"Priabonian","",38,33.9,11845,"gp_mid",-67.9,35.72,"109",1,35.95,"priabonian",1
"39584",92391,"col","Inglis Limestone",-82.71167,29.237778,"PRI 3201 - Gulf Hammock [Inglis Limestone]",NA,"",38,"Priabonian","",38,33.9,11845,"gp_mid",-67.88,32.09,"109",1,35.95,"priabonian",1
"39606",92432,"col","Barnwell Sand",-81.719444,33.560555,"Sta. 4593 - Deearadeaux [Barnwell Sand]",NA,"",33,"Late Eocene","",37.2,33.9,31145,"gp_mid",-65.92,36.18,"109",1,35.55,"priabonian",1
"39608",92434,"col","Santee Limestone",-80.766388,33.683613,"Sta. 7990 - Belle Broughton Plantation [Santee Limestone]",NA,"Loc. 148",7,"Late Eocene","",37.2,33.9,31145,"gp_mid",-64.93,36.16,"109",1,35.55,"priabonian",1
"39719",92603,"col","Ocala Limestone",-82.573334,29.690556,"TU 449 - Haile [Ocala Limestone]",NA,"",1,"Late Eocene","",37.2,33.9,31182,"gp_mid",-67.65,32.51,"109",1,35.55,"priabonian",1
"39816",92770,"col","",-75.116386,39,"Brandywine Lighthouse well, 825 ft",NA,"",6,"Late Eocene","",37.2,33.9,31286,"gp_mid",-57.9,40.47,"109",1,35.55,"priabonian",1
"39824",92785,"col","Crystal River Limestone",-82.190277,29.293888,"Martin Station [Crystal River Limestone]",NA,"",8,"Late Eocene","",37.2,33.9,31304,"gp_mid",-67.34,32.06,"109",1,35.55,"priabonian",1
"43612",98629,"col","Barnwell",-81.897781,33.148056,"M 886",NA,"",2,"Late Eocene","",37.2,33.9,11845,"gp_mid",-66.2,35.81,"109",1,35.55,"priabonian",1
"43631",98650,"col","Ocala Limestone",-84.15583,31.578611,"PRI 1178",NA,"",2,"Priabonian","",38,33.9,11845,"gp_mid",-68.85,34.62,"109",1,35.95,"priabonian",1
"43632",98651,"col","Ocala Limestone",-84.15583,31.578611,"M 461",NA,"",2,"Priabonian","",38,33.9,11845,"gp_mid",-68.85,34.62,"109",1,35.95,"priabonian",1
"43634",98653,"col","Ocala Limestone",-83.731667,32.458332,"PRI 1182",NA,"",12,"Priabonian","",38,33.9,11845,"gp_mid",-68.22,35.42,"109",1,35.95,"priabonian",1
"43635",98654,"col","Ocala Limestone",-83.637222,32.413612,"PRI 1183",NA,"",4,"Priabonian","",38,33.9,11845,"gp_mid",-68.13,35.36,"109",1,35.95,"priabonian",1
"43637",98656,"col","Barnwell",-82.41111,33,"M 888",NA,"",1,"Late Eocene","",37.2,33.9,11845,"gp_mid",-66.75,35.74,"109",1,35.55,"priabonian",1
"43638",98657,"col","Barnwell",-82.41111,33,"M 889",NA,"",1,"Late Eocene","",37.2,33.9,11845,"gp_mid",-66.75,35.74,"109",1,35.55,"priabonian",1
"43639",98658,"col","Barnwell",-82.096664,33.314167,"M 705",NA,"",1,"Late Eocene","",37.2,33.9,11845,"gp_mid",-66.36,36,"109",1,35.55,"priabonian",1
"44135",99191,"col","Ocala limestone",-82.51889,29.530001,"PRI 25",NA,"",1,"Priabonian","",38,33.9,11845,"gp_mid",-67.63,32.35,"109",1,35.95,"priabonian",1
"44136",99192,"col","Ocala limestone",-82.606392,29.646389,"PRI 903",NA,"",1,"Priabonian","",38,33.9,11845,"gp_mid",-67.69,32.48,"109",1,35.95,"priabonian",1
"44137",99193,"col","Crystal River",-82.606392,29.646389,"M 882",NA,"",1,"Priabonian","",38,33.9,11845,"gp_mid",-67.69,32.48,"109",1,35.95,"priabonian",1
"44139",99195,"col","Crystal River",-82.817497,29.613333,"M 883",NA,"",1,"Priabonian","",38,33.9,11845,"gp_mid",-67.91,32.48,"109",1,35.95,"priabonian",1
"44149",99205,"col","Crystal River",-82.446671,29.387501,"M 884",NA,"",1,"Priabonian","",38,33.9,11845,"gp_mid",-67.58,32.2,"109",1,35.95,"priabonian",1
"44150",99206,"col","Crystal River",-82.446671,29.387501,"M 885",NA,"",1,"Priabonian","",38,33.9,11845,"gp_mid",-67.58,32.2,"109",1,35.95,"priabonian",1
"44173",99252,"col","Crystal River",-82.167778,29.253611,"PRI 3620",NA,"",6,"Priabonian","",38,33.9,11845,"gp_mid",-67.33,32.02,"109",1,35.95,"priabonian",1
"46097",102229,"col","",27.766666,42.950001,"Rudnik",NA,"",9,"Priabonian","",38,33.9,34737,"gp_mid",29.58,31.35,"308",1,35.95,"priabonian",1
"46098",102230,"col","",27.083332,42.866669,"Lyulyakovo",NA,"",66,"Priabonian","",38,33.9,34737,"gp_mid",28.99,31.39,"308",1,35.95,"priabonian",1
"46114",102293,"col","",27.633333,42.650002,"Chimovo",NA,"",3,"Priabonian","",38,33.9,34737,"gp_mid",29.38,31.08,"308",1,35.95,"priabonian",1
"46157",102341,"col","",24.433332,43.400002,"Dolni Dubnik",NA,"",2,"Priabonian","",38,33.9,34737,"gp_mid",26.94,32.39,"308",1,35.95,"priabonian",1
"46159",102343,"col","",24.816668,42.233334,"Kalekovets",NA,"",2,"Priabonian","",38,33.9,34737,"gp_mid",26.91,31.19,"308",1,35.95,"priabonian",1
"46168",102355,"col","",27.716667,42.983334,"Dolni Chiflik",NA,"",1,"Priabonian","",38,33.9,34737,"gp_mid",29.55,31.39,"308",1,35.95,"priabonian",1
"46176",102363,"col","",26.4,42.683334,"Sotirya",NA,"",6,"Priabonian","",38,33.9,34737,"gp_mid",28.36,31.33,"308",1,35.95,"priabonian",1
"47083",103735,"col","",26.116667,42.733334,"Sar'yar",NA,"",2,"Priabonian","",38,33.9,34737,"gp_mid",28.14,31.43,"308",1,35.95,"priabonian",1
"47086",103738,"col","",26.15,42.75,"Novachevo",NA,"",2,"Priabonian","",38,33.9,34737,"gp_mid",28.18,31.44,"308",1,35.95,"priabonian",1
"47089",103741,"col","",25.5,43.099998,"Momin Sbor",NA,"",1,"Priabonian","",38,33.9,34737,"gp_mid",27.74,31.9,"308",1,35.95,"priabonian",1
"47090",103742,"col","",27.483334,42.599998,"Mina Cherno More",NA,"",14,"Priabonian","",38,33.9,34737,"gp_mid",29.24,31.06,"308",1,35.95,"priabonian",1
"47103",103757,"col","",27.1,42.883331,"Rupcha",NA,"",2,"Priabonian","",38,33.9,34737,"gp_mid",29.01,31.4,"308",1,35.95,"priabonian",1
"47105",103759,"col","",27.733334,43.283333,"Kalimantsi",NA,"",1,"Priabonian","",38,33.9,34737,"gp_mid",29.65,31.68,"308",1,35.95,"priabonian",1
"47106",103760,"col","",27.200001,42.883331,"Duskotna",NA,"",18,"Priabonian","",38,33.9,34737,"gp_mid",29.09,31.38,"308",1,35.95,"priabonian",1
"47107",103761,"col","",27.616667,43.016666,"Goren Chiflik",NA,"",1,"Priabonian","",38,33.9,34737,"gp_mid",29.47,31.44,"308",1,35.95,"priabonian",1
"47109",103763,"col","",25.133333,42.283333,"Tyurkmen",NA,"",2,"Priabonian","",38,33.9,34737,"gp_mid",27.19,31.18,"308",1,35.95,"priabonian",1
"47110",103764,"col","",25.616667,43.066666,"Altunovski Quarry, Turnovo",NA,"",4,"Priabonian","",38,33.9,34737,"gp_mid",27.82,31.85,"308",1,35.95,"priabonian",1
"47111",103765,"col","",25.416668,43.083332,"Balvan",NA,"",4,"Priabonian","",38,33.9,34737,"gp_mid",27.66,31.9,"308",1,35.95,"priabonian",1
"47114",103768,"col","",26.183332,42.733334,"Byala",NA,"",6,"Priabonian","",38,33.9,34737,"gp_mid",28.2,31.42,"308",1,35.95,"priabonian",1
"47164",103864,"col","",27.4,43.116669,"Komarevo",NA,"",4,"Priabonian","",38,33.9,34737,"gp_mid",29.32,31.57,"308",1,35.95,"priabonian",1
"47167",103867,"col","",25,42.216667,"Shishmantsi",NA,"",2,"Priabonian","",38,33.9,34737,"gp_mid",27.06,31.14,"308",1,35.95,"priabonian",1
"47187",103887,"col","",27.483334,42.616669,"Khodzhamar",NA,"",1,"Priabonian","",38,33.9,34737,"gp_mid",29.25,31.07,"308",1,35.95,"priabonian",1
"47210",103931,"col","",27.15,42.883331,"Planinitsa",NA,"",1,"Priabonian","",38,33.9,34737,"gp_mid",29.05,31.39,"308",1,35.95,"priabonian",1
"47211",103932,"col","",26.083332,42.733334,"Borov Dol",NA,"",2,"Priabonian","",38,33.9,34737,"gp_mid",28.12,31.44,"308",1,35.95,"priabonian",1
"47212",103933,"col","",27.666668,42.950001,"Krivini",NA,"",0,"Priabonian","",38,33.9,34737,"gp_mid",29.5,31.36,"308",1,35.95,"priabonian",1
"47216",103937,"col","",24.483334,43.700001,"Gigen",NA,"",1,"Priabonian","",38,33.9,34737,"gp_mid",27.07,32.67,"308",1,35.95,"priabonian",1
"47217",103938,"col","",25.333332,42.200001,"Chirpan",NA,"",2,"Priabonian","",38,33.9,34737,"gp_mid",27.33,31.06,"308",1,35.95,"priabonian",1
"47221",103942,"col","",27.716667,43.25,"Slunchevo",NA,"",1,"Priabonian","",38,33.9,34737,"gp_mid",29.62,31.65,"308",1,35.95,"priabonian",1
"47242",103963,"col","",26.233334,42.75,"Vuglen",NA,"",1,"Priabonian","",38,33.9,34737,"gp_mid",28.24,31.43,"308",1,35.95,"priabonian",1
"47243",103964,"col","",26.416668,42.616669,"Khadzhi Dimitur",NA,"",1,"Priabonian","",38,33.9,34737,"gp_mid",28.36,31.27,"308",1,35.95,"priabonian",1
"49761",108261,"col","Chegan",56.799999,46.599998,"North Precipice, Ustjurt Plateau",NA,"",1,"Priabonian","",38,33.9,35921,"gp_mid",56.04,40.7,"402",1,35.95,"priabonian",1
"49762",108262,"col","Chegan",60.5,46.950001,"North coast of the Aral Sea",NA,"",1,"Priabonian","",38,33.9,35921,"gp_mid",59.35,41.24,"402",1,35.95,"priabonian",1
"53762",113118,"col","Adaev",52.808334,44.111389,"Monata",NA,"",13,"Priabonian","",38,33.9,36745,"gp_mid",52.63,38.03,"402",1,35.95,"priabonian",1
"54237",113829,"col","Bembridge Marls",-1.345,50.75,"North end of Thorness Bay, Bembridge Marls (BMNH collection)",NA,"",19,"Priabonian","",38,33.9,51852,"gp_mid",4.19,44.93,"315",1,35.95,"priabonian",1
"61077",123876,"col","Kharkov",42.237221,47.716389,"Khoroshevskii Cossack Village",NA,"Khoroshevskaya",1,"Priabonian","",38,33.9,41149,"gp_mid",42.86,41.28,"302",1,35.95,"priabonian",1
"61115",123959,"col","Bouldnor",-1.36,50.737999,"Bembridge Marls (Brodie coll)",NA,"",268,"Priabonian","",38,33.9,37729,"gp_mid",4.17,44.91,"315",1,35.95,"priabonian",1
"61116",157666,"col","Bouldnor",-1.36,50.737999,"Thorness Bay, Bembridge Marls (MNEMG coll)",NA,"",16,"Priabonian","",38,33.9,51854,"gp_mid",4.17,44.91,"315",1,35.95,"priabonian",1
"61117",123960,"col","Bouldnor",-1.36,50.737999,"Bembridge Marls (Hooley coll)",NA,"",213,"Priabonian","",38,33.9,39932,"gp_mid",4.17,44.91,"315",1,35.95,"priabonian",1
"61118",123961,"col","Bouldnor",-1.36,50.737999,"Bembridge Marls (Jarzembowski coll)",NA,"",3,"Priabonian","",38,33.9,5087,"gp_mid",4.17,44.91,"315",1,35.95,"priabonian",1
"61393",124431,"col","",12.934722,47.696667,"Halthurm",NA,"",5,"Late Eocene","",37.2,33.9,40158,"gp_mid",18.98,38.81,"307",1,35.55,"priabonian",1
"63045",127165,"col","",11.533333,45.533333,"Fontanella of Grancona",NA,"",1,"Late Eocene","",37.2,33.9,41330,"gp_mid",16.95,37.07,"307",1,35.55,"priabonian",1
"63175",127464,"col","",-0.38,42.31472,"Huesca, near",NA,"",1,"Priabonian","",38,33.9,41514,"gp_mid",4.59,37.01,"304",1,35.95,"priabonian",1
"63299",127743,"col","Bembridge Marls",-1.36,50.737999,"Thorness Bay, Bembridge Marls, Isle of Wight (IWCMS coll)",NA,"",14,"Priabonian","",38,33.9,9429,"gp_mid",4.17,44.91,"315",1,35.95,"priabonian",1
"63740",128437,"col","Padrag Marl",17.440001,47.099998,"Devecser 4 borehole",NA,"",2,"Priabonian","",38,33.9,41949,"gp_mid",22.43,37.31,"308",1,35.95,"priabonian",1
"63741",128440,"col","Padrag Marl",18,47.316666,"Csetény 61 borehole, 272 m",NA,"",1,"Priabonian","",38,33.9,41949,"gp_mid",22.97,37.4,"308",1,35.95,"priabonian",1
"64380",129546,"col","Bouldnor",-1.348,50.742001,"Bembridge marls, east end of Thorness Bay",NA,"",1,"Priabonian","",38,33.9,5011,"gp_mid",4.18,44.92,"315",1,35.95,"priabonian",1
"66555",132552,"col","Tobacco Road",-82.816666,32.950001,"Tennile Lime Sinks",NA,"",1,"Priabonian","",38,33.9,42488,"gp_mid",-67.18,35.76,"109",1,35.95,"priabonian",1
"66597",132611,"col","Crystal River",-83.138054,29.319721,"Cedar Key, north",NA,"",1,"Priabonian","",38,33.9,42488,"gp_mid",-68.3,32.24,"109",1,35.95,"priabonian",1
"66649",132702,"col","Crystal River",-83.248055,30.205278,"D. H. Bell Site",NA,"",1,"Priabonian","",38,33.9,42488,"gp_mid",-68.22,33.13,"109",1,35.95,"priabonian",1
"66650",132703,"col","Crystal River",-85.22361,30.788055,"Marianna, north",NA,"",0,"Priabonian","",38,33.9,42488,"gp_mid",-70.11,34,"109",1,35.95,"priabonian",1
"66738",132817,"col","Crystal River",-83.395279,29.665001,"Steinhatchee",NA,"Steinhatchee 1",1,"Priabonian","",38,33.9,42488,"gp_mid",-68.49,32.62,"109",1,35.95,"priabonian",1
"66838",133024,"col","Twiggs",-83.324722,32.863056,"Gordon",NA,"",1,"Priabonian","",38,33.9,42488,"gp_mid",-67.71,35.75,"109",1,35.95,"priabonian",1
"70260",138115,"col","Calcareniti di Castelgomberto",11.583333,45.450001,"Lumignano, Vicenza, Calcareniti di Castelgomberto",NA,"",10,"Priabonian","",38,33.9,44169,"gp_mid",16.96,36.98,"307",1,35.95,"priabonian",1
