"bin","max","min","mid","hemisphere","MST","name","max_age","mid_age","min_age","duration","abbr","color"
1,90,75,82.5,"N",0,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
2,75,60,67.5,"N",0,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
3,60,45,52.5,"N",13310.26,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
4,45,30,37.5,"N",26692.42,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
5,30,15,22.5,"N",14803.83,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
6,15,0,7.5,"N",2197.49,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
7,0,-15,-7.5,"S",266.26,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
8,-15,-30,-22.5,"S",11829.64,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
9,-30,-45,-37.5,"S",10629.36,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
10,-45,-60,-52.5,"S",0,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
11,-60,-75,-67.5,"S",0,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
12,-75,-90,-82.5,"S",0,"tortonian",11.62,9.433,7.246,4.374,"Trt","#FFFF66"
1,90,75,82.5,"N",0,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
2,75,60,67.5,"N",0,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
3,60,45,52.5,"N",2185.38,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
4,45,30,37.5,"N",25700.71,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
5,30,15,22.5,"N",147.58,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
6,15,0,7.5,"N",2687.76,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
7,0,-15,-7.5,"S",18932.73,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
8,-15,-30,-22.5,"S",0,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
9,-30,-45,-37.5,"S",10863.08,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
10,-45,-60,-52.5,"S",0,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
11,-60,-75,-67.5,"S",0,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
12,-75,-90,-82.5,"S",0,"serravallian",13.82,12.72,11.62,2.2,"Srr","#FFFF59"
1,90,75,82.5,"N",0,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
2,75,60,67.5,"N",0,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
3,60,45,52.5,"N",8100.01,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
4,45,30,37.5,"N",20367.52,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
5,30,15,22.5,"N",15180.59,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
6,15,0,7.5,"N",108.7,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
7,0,-15,-7.5,"S",17437.88,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
8,-15,-30,-22.5,"S",0,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
9,-30,-45,-37.5,"S",17442.84,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
10,-45,-60,-52.5,"S",0,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
11,-60,-75,-67.5,"S",0,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
12,-75,-90,-82.5,"S",0,"langhian",15.97,14.895,13.82,2.15,"Ln","#FFFF4D"
1,90,75,82.5,"N",0,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
2,75,60,67.5,"N",0,"burdigalian",20.44,18.205,15.97,4.47,"Brd","#FFFF41"
