"name","simulated_SLD_UB","sampled_SLD_UB","rarefied_SLD_UB","simulated_SLD_UF","sampled_SLD_UF","rarefied_SLD_UF","simulated_SLD_FB","sampled_SLD_FB","rarefied_SLD_FB","max_age","mid_age","min_age","duration","abbr","color"
"albian",1.22543949459243,0.916259309035952,0.938872902820272,1.06254246875532,0.729016753710503,0.758043795066207,0.694168347454695,0.578176505528896,0.512236509545448,113,106.75,100.5,12.5,"Alb","#CCEA97"
"aptian",1.19284252352147,0.907868847818114,0.899139081978459,1.05162841677884,0.592481060092213,0.661252240378622,0.667021779787695,0.495916608484191,0.390483835084465,125,119,113,12,"Ap","#BFE48A"
"barremian",1.16324964912959,0.965312778249905,0.855438838812619,1.06232962659264,0.518136992366018,0.475979033429372,0.641225926728151,0.541778553053276,0.461546381988777,129.4,127.2,125,4.4,"Brrm","#B3DF7F"
"hauterivian",1.24118636194874,0.969772564761501,0.901623645921009,1.1747327229433,0.600995292516127,0.60807667851911,0.734157598208576,0.602947800522684,0.497972266729136,132.9,131.15,129.4,3.5,"Htr","#A6D975"
"valanginian",1.25788380253174,1.23382544845765,1.16594368065336,1.15976497184508,0.934678505963615,0.919451886467536,0.729845656256676,0.772616774685247,0.737958580132469,139.8,136.35,132.9,6.9,"Vl","#99D36A"
"berriasian",1.23247672231409,1.05266454407404,1.0626987410351,1.1036054859117,0.703026063315869,0.726385310281146,0.698856956886195,0.471520963854699,0.436645293606699,145,142.4,139.8,5.2,"Brrs","#8CCD60"
"tithonian",1.19369353966917,1.06847479054043,0.98565258143533,1.03017242415798,0.687079223423684,0.667779562863015,0.664389630667739,0.526726676537949,0.430108678258188,152.1,148.55,145,7.1,"Tt","#D9F1F7"
"kimmeridgian",1.16617065030545,1.14022811624496,1.03529308385764,0.97261890342081,0.525355839543852,0.477833695948903,0.670855669463528,0.664039932890769,0.586343466953943,157.3,154.7,152.1,5.2,"Km","#CCECF4"
"oxfordian",1.16365871844768,0.994842452172931,0.90568428284926,0.9491909122238,0.382618232529199,0.356954938519441,0.687862876807667,0.612442120172141,0.548729344329818,163.5,160.4,157.3,6.2,"Ox","#BFE7F1"
"callovian",1.12599294432743,1.16284880340527,1.00225450785949,0.92627408421741,0.536564803403923,0.469559288784654,0.710647988249695,0.720488106646478,0.574402000420111,166.1,164.8,163.5,2.6,"Cll","#BFE7E5"
"bathonian",1.09800623807574,1.17541902618915,0.932062474468197,0.935504815107759,0.458906173262962,0.346738851246998,0.753988604747096,0.716512852926185,0.585323623221199,168.3,167.2,166.1,2.2,"Bt","#B3E2E3"
"bajocian",1.11828411535871,1.04696355301751,0.782026071736771,0.984743603863851,0.468826756602368,0.372889615841123,0.791755738094945,0.613690713060778,0.443165030251035,170.3,169.3,168.3,2,"Bj","#A6DDE0"
"aalenian",1.08381963150347,0.755019176701866,0.610676192959126,0.959154867733292,0.448429773889783,0.405872472147228,0.770851190409981,0.474342669475813,0.360650175557786,174.1,172.2,170.3,3.8,"Aln","#9AD9DD"
"toarcian",1.08547830720478,0.83848415614666,0.604807959178892,0.949423003258497,0.43874681689572,0.386366515488445,0.764032373287898,0.454469099487105,0.261222428005982,182.7,178.4,174.1,8.6,"Trc","#99CEE3"
"pliensbachian",1.07953021386498,0.654162523388034,0.489996143327501,0.877329329819957,0.384925571798181,0.34246788016674,0.606256310966997,0.302927520402882,0.212004530075802,190.8,186.75,182.7,8.1,"Pl","#80C5DD"
"sinemurian",1.17250663156627,0.83799403649816,0.72594271092428,0.892936247992027,0.463308957542952,0.377562930428279,0.516224944824571,0.374685078955208,0.348379780496001,199.3,195.05,190.8,8.5,"Snm","#67BCD8"
"hettangian",1.18133276340783,0.250648965132923,0.373945556699886,0.906312413851179,0.163196038706088,0.227522117347517,0.511145161715375,0.100472727847648,0.146423439352369,201.3,200.3,199.3,2,"Htt","#4EB3D3"
"rhaetian",1.30482692683137,0.975392968053698,0.760917408566886,0.879412794965085,0.456727643219058,0.383111935154955,0.592426777031345,0.614209101388521,0.468100215420556,208.5,204.9,201.3,7.2,"Rht","#E3B9DB"
"norian",1.33300354671008,1.52618353551084,1.43618666731218,0.936300903538829,0.784791275941361,0.683698474345769,0.712336249144911,0.977814399288358,0.909825413181308,228,218.25,208.5,19.5,"N","#D6AAD3"
"carnian",1.23853538068482,1.41379164522061,1.2986483946537,0.860479184291879,0.687691203227559,0.630377188001038,0.676325450643426,0.923674479892433,0.853601500272781,237,232.5,228,9,"Cr","#C99BCB"
"ladinian",1.20999626051095,1.06566971763192,1.00244212940129,0.81935501752425,0.498278592054622,0.478436988151624,0.695024416723463,0.587570396661812,0.539022485928478,242,239.5,237,5,"Ldn","#C983BF"
"anisian",1.2199567741647,0.807407679501572,0.908757443770493,0.852501547471159,0.363281993834199,0.415132815889123,0.74800102634103,0.587459731952183,0.656113781218945,247.2,244.6,242,5.2,"An","#BC75B7"
"olenekian",1.2638211638568,1.32844352486946,1.28287202997869,0.904274674118246,0.723615133912616,0.594717937767666,0.772389454900296,0.8447183701421,0.81350041101535,251.2,249.2,247.2,4,"Ol","#B051A5"
"induan",1.23620652628933,1.59325695502495,1.47997841066074,0.902107310434717,0.850239399508511,0.749491790186283,0.742601600690777,0.928606344074988,0.873778750668735,252.17,251.685,251.2,0.97,"I","#A4469F"
"changhsingian",1.22356220193137,1.54184149876081,1.46338141051485,0.906751775634222,0.516924215471619,0.46464106250325,0.717742956145621,1.19291481641171,1.16946511093519,254.17,253.17,252.17,2,"Chn","#FCC0B2"
"wuchiapingian",1.23352602742558,1.22578356939896,1.08118867304324,0.888441373836619,0.75605060637833,0.690278684922235,0.716027000594223,0.906566940048516,0.87921007353928,259.9,257.035,254.17,5.73,"Wc","#FCB4A2"
"capitanian",1.22455714661235,1.64232593423119,1.55229960235594,0.897103145843037,0.718027477831002,0.62792851578546,0.709037015371513,0.948790595984336,0.925585551052719,265.1,262.5,259.9,5.2,"Cp","#FB9A85"
"wordian",1.18452620376486,1.37183115570966,1.18873765919276,0.848700976529876,0.731651808687206,0.608430284422068,0.670017022148917,0.933506364613801,0.881503026979165,268.8,266.95,265.1,3.7,"Wr","#FB8D76"
"roadian",1.17359351634381,1.26310332096619,1.14647724891469,0.84167957268133,0.635212950566997,0.508919383868967,0.663747101309156,0.804300743619279,0.792802282366458,272.3,270.55,268.8,3.5,"Rd","#FB8069"
"kungurian",1.16060956221303,1.21891442781805,1.07370877101402,0.951062473855965,0.689249740156106,0.567649647012718,0.699831866923247,0.644755163068731,0.590369802053498,279.3,275.8,272.3,7,"Kn","#E38776"
"artinskian",1.15964803326695,1.09835359358307,1.03116758986634,1.00302751636395,0.779138297098998,0.72355661359198,0.732724978377475,0.55718991837632,0.493816406089036,290.1,284.7,279.3,10.8,"Art","#E37B68"
"sakmarian",1.14090489061188,1.04118927475582,1.01894319670967,1.00012993183228,0.667537318864329,0.665519829429047,0.72458772879207,0.502492537661163,0.474734594420246,295.5,292.8,290.1,5.4,"Sk","#E36F5C"
"asselian",1.11760405433462,0.975802423950313,0.9554344895284,0.989007696801877,0.490296480875326,0.49104671753317,0.705634218682043,0.530241680897632,0.506877275550234,298.9,297.2,295.5,3.4,"As","#E36350"
