"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"116085",165548,"col","Dalazi",129.61,42.65,"Zhixin basin, Yanji",NA,"",1,"Aptian","",125,113,54119,"gp_mid",140.08,43.25,"604",119,"aptian",28745,142.459,47.3546,27
"116095",165570,"col","Huliugou",107.33,41.35,"Dongwugai, northwest of Shilanji, Urad Zhongqi",NA,"",2,"Aptian","",125,113,54135,"gp_mid",119.29,38.04,"604",119,"aptian",31016,120.2022,42.5957,27
"116096",165571,"col","Huliugou",108.49,40.99,"Xigedu, Yutai, Urad Qianqi",NA,"",1,"Aptian","",125,113,54135,"gp_mid",120.47,37.89,"604",119,"aptian",31017,120.9308,40.2726,27
"116097",165572,"col","Huliugou",113.09,41.03,"Lihaogou, Xiaoyutai, Ulanqab",NA,"",1,"Aptian","",125,113,54135,"gp_mid",124.76,38.72,"604",119,"aptian",31018,124.5768,41.0493,27
"116108",165583,"col","Roma",144.53,-17.16,"Boomers Decapods",NA,"",1,"Aptian","",125,113,54094,"gp_mid",141.64,-62.76,"801",119,"aptian",31023,147.6703,-59.1432,27
"116158",165649,"col","",40.37,44.72,"Fars River, northern Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",59.72,33.95,"302",119,"aptian",31051,59.1828,34.5458,27
"116159",165650,"col","",40.19,44.4,"Abadzanskaya, Belaya River, northern Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",59.58,33.63,"302",119,"aptian",31052,59.1828,34.5458,27
"116160",165651,"col","",47.33,42.28,"Akusha, Caucasus",NA,"",5,"Aptian","",125,113,54147,"gp_mid",65.9,31.83,"402",119,"aptian",31053,66.0118,32.74,27
"116207",165699,"col","",-1.62,51.64,"Coxwell (Crofton collection)",NA,"",1,"Aptian","",125,113,18892,"gp_mid",24.83,41.79,"315",119,"aptian",30979,24.7415,41.2123,27
"116233",165753,"col","",47.47,42.42,"Ayalakab, Kakaozen River, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",66,31.98,"402",119,"aptian",31088,66.0118,32.74,27
"116234",165754,"col","",43.56,43.46,"Nalchik, Caucasus (Aptian)",NA,"",2,"Aptian","",125,113,54147,"gp_mid",62.54,32.82,"302",119,"aptian",31089,64.5399,33.2714,27
"116235",165755,"col","",46.15,42.69,"Rakhata-Botlak, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",64.84,32.18,"402",119,"aptian",31090,64.5399,33.2714,27
"116236",165756,"col","",48.05,41.69,"Tsmur-Chay, Caucasus",NA,"",2,"Aptian","",125,113,54147,"gp_mid",66.58,31.29,"402",119,"aptian",31091,66.0118,32.74,27
"116237",165757,"col","",43.76,43.42,"Cherek River, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",62.72,32.79,"302",119,"aptian",31092,64.5399,33.2714,27
"116238",165758,"col","",45.8,42.83,"Sharo-Argun River, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",64.53,32.3,"402",119,"aptian",31093,64.5399,33.2714,27
"116239",165759,"col","",47.81,41.96,"Khanag-Chay River, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",66.34,31.54,"402",119,"aptian",31094,66.0118,32.74,27
"116240",165760,"col","",47.81,41.96,"Kodar, Dagestan",NA,"",1,"Aptian","",125,113,54147,"gp_mid",66.34,31.54,"402",119,"aptian",31094,66.0118,32.74,27
"116243",165763,"col","",54.68,39.66,"Bol'shoy Balkhan, Turkmenia (Aptian)",NA,"",1,"Aptian","",125,113,54147,"gp_mid",72.6,29.72,"402",119,"aptian",31095,73.0149,31.0987,27
"116244",165764,"col","",34.03,44.83,"Alma River, Crimea (Aptian)",NA,"",1,"Aptian","",125,113,54147,"gp_mid",54.29,33.9,"302",119,"aptian",31096,52.7957,34.0295,27
"116245",165765,"col","",34.04,44.79,"Karagach, Crimea",NA,"",1,"Aptian","",125,113,54147,"gp_mid",54.31,33.85,"302",119,"aptian",31097,52.7957,34.0295,27
"116246",165766,"col","",47.29,42.63,"Vanashimakhi, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",65.83,32.19,"402",119,"aptian",31098,66.0118,32.74,27
"116247",165767,"col","",42.7,42.28,"Kutaisi, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",61.88,31.6,"511",119,"aptian",31099,61.2342,33.3968,27
"116253",165777,"col","",51.8,44.25,"Kupaat Mountain, Mangyshlak Peninsula",NA,"",1,"Aptian","",125,113,54147,"gp_mid",69.56,34.08,"402",119,"aptian",31101,68.8124,35.6065,27
"116254",165778,"col","",51.8,44.25,"Chingis, Mangyshlak Peninsula",NA,"",1,"Aptian","",125,113,54147,"gp_mid",69.56,34.08,"402",119,"aptian",31101,68.8124,35.6065,27
"116255",165779,"col","",51.8,44.25,"Kurk-Kruk, Mangyshlak Peninsula",NA,"",1,"Aptian","",125,113,54147,"gp_mid",69.56,34.08,"402",119,"aptian",31101,68.8124,35.6065,27
"116404",165953,"col","",40.19,44.4,"Belaya River, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",59.58,33.63,"302",119,"aptian",31052,59.1828,34.5458,27
"116405",165954,"col","",41.15,43.85,"Urup River, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",60.44,33.11,"302",119,"aptian",31149,59.1828,34.5458,27
"116408",165957,"col","",51.8,44.25,"Turbas, Mangyshlak",NA,"",1,"Aptian","",125,113,54147,"gp_mid",69.56,34.08,"402",119,"aptian",31101,68.8124,35.6065,27
"116409",165958,"col","",51.8,44.25,"Kugusem, Mangyshlak",NA,"",1,"Aptian","",125,113,54147,"gp_mid",69.56,34.08,"402",119,"aptian",31101,68.8124,35.6065,27
"116410",165959,"col","",52.16,44.16,"Shetpe region, Mangyshlak",NA,"",1,"Aptian","",125,113,54147,"gp_mid",69.88,34.01,"402",119,"aptian",31151,68.8124,35.6065,27
"116411",165960,"col","",53.63,40.02,"Yangadzha, Turkmeniya (Aptian)",NA,"",1,"Aptian","",125,113,54147,"gp_mid",71.63,29.99,"402",119,"aptian",31152,71.1046,30.6252,27
"116416",165965,"col","",42.83,42.56,"Alpana, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",61.98,31.9,"511",119,"aptian",31156,61.2342,33.3968,27
"116417",165966,"col","",43.26,42.07,"Goresha, Caucasus",NA,"",1,"Aptian","",125,113,54147,"gp_mid",62.39,31.42,"511",119,"aptian",31157,64.5399,33.2714,27
"116464",166014,"col","",34.91,-16.72,"3 miles west-southwest of Chirunda Hill",NA,"",1,"Aptian","",125,113,54267,"gp_mid",19.5,-37.47,"701",119,"aptian",31183,12.3795,-38.5896,27
"117094",167245,"col","Laiyang",120.81,37.05,"XII.53, Huangyadi, Muyudianxiang, Laiyang City",NA,"",1,"Aptian","",125,113,54568,"gp_mid",133.26,36.21,"604",119,"aptian",29288,132.8128,40.2417,27
"117181",167348,"col","Jiufotang",121.02,41.53,"Xiaotaizi DUPLICATE",NA,"",0,"Aptian","",125,113,54597,"gp_mid",132.13,40.61,"604",119,"aptian",31454,131.0661,44.9718,27
"117352",167550,"col","Aerado",-46.03,-18.38,"São José Farm, Varjão, Presidente Olegário (RGMN collection)",NA,"",1,"Aptian","",125,113,54711,"gp_mid",-3.96,-16.38,"201",119,"aptian",29392,-10.1351,-15.8628,27
"117611",167944,"col","Anfiteatro de Ticó",-69.24,-48.51,"Estancia Bajo del Tigre",NA,"",1,"Aptian","",125,113,54953,"gp_mid",-27.96,-44.93,"291",119,"aptian",28446,-35.8085,-43.5057,27
"117661",168041,"col","",103,43.1,"Barun-Suzh (PIN collection 4206)",NA,"",1,"Aptian","",125,113,55031,"gp_mid",115.04,39.46,"628",119,"aptian",31565,113.0601,40.9426,27
"118034",169125,"col","",6.68,46.93,"La Presta",NA,"",1,"Aptian","",125,113,55249,"gp_mid",31.14,36.55,"305",119,"aptian",12584,30.6129,36.0024,27
"118129",169252,"col","Marnes bleues",5.49,44.51,"Saint-Dizier-en-Diois",NA,"",1,"Aptian","",125,113,55270,"gp_mid",29.86,34.21,"305",119,"aptian",31636,27.3517,33.594,27
"118259",169471,"col","",-2.05,42.21,"Era del Peladillo 4 tracksite",NA,"",3,"Aptian","",125,113,55588,"gp_mid",23.4,32.22,"304",119,"aptian",9434,18.4941,32.2332,27
"118260",169472,"col","",-2.05,42.21,"Era del Peladillo 5 tracksite",NA,"",3,"Aptian","",125,113,55588,"gp_mid",23.4,32.22,"304",119,"aptian",9434,18.4941,32.2332,27
"118261",169473,"col","",-2.05,42.21,"Era del Peladillo 6 tracksite",NA,"",3,"Aptian","",125,113,55588,"gp_mid",23.4,32.22,"304",119,"aptian",9434,18.4941,32.2332,27
"118262",169474,"col","",-2.05,42.21,"Era del Peladillo 7 tracksite",NA,"",2,"Aptian","",125,113,55588,"gp_mid",23.4,32.22,"304",119,"aptian",9434,18.4941,32.2332,27
"118263",169475,"col","",-2.22,42.12,"El Villar tracksite, Navalsaz",NA,"Arnedo, Logroño",1,"Aptian","",125,113,56560,"gp_mid",23.22,32.22,"304",119,"aptian",31652,18.4941,32.2332,27
"118404",169622,"col","",-0.46,52.16,"Brickhill (USNM collection)",NA,"",1,"Aptian","",125,113,43337,"gp_mid",25.87,42.22,"315",119,"aptian",29114,24.7415,41.2123,27
"118673",169901,"col","Crato",-39.7,-7.11,"Pedra Branca Quarry (Crato)",NA,"Pedra Branca Mine",2,"Aptian","",125,113,55437,"gp_mid",3.04,-5.53,"201",119,"aptian",22733,-5.3059,-6.3252,27
"118703",169930,"col","Jiufotang",119.4,41.24,"Lingyuan (general)",NA,"",3,"Aptian","",125,113,55440,"gp_mid",130.68,40.04,"604",119,"aptian",2809,132.0778,42.5808,27
"119334",170638,"col","",-2.27,42.15,"Valdecevillo E tracksite",NA,"",2,"Aptian","",125,113,55588,"gp_mid",23.2,32.26,"304",119,"aptian",31781,18.4941,32.2332,27
"119409",170925,"col","Lower Greensand",0.12,52.2,"Cambridge (Tucher Coll.)",NA,"",1,"Aptian","",125,113,52872,"gp_mid",26.35,42.22,"315",119,"aptian",192,24.7415,41.2123,27
"119703",171268,"col","",33.48,30.69,"Gebel Manzour (Aptian)",NA,"",3,"Aptian","",125,113,36012,"gp_mid",40.1,5.69,"508",119,"aptian",31867,36.0941,3.3529,27
"119705",171270,"col","",33.53,30.8,"Bir Lagama (Aptian)",NA,"",13,"Aptian","",125,113,36012,"gp_mid",40.19,5.76,"508",119,"aptian",31869,36.0941,3.3529,27
"119823",171392,"col","",33.32,30.71,"Oued Moghara (right bank, Aptian)",NA,"",1,"Aptian","",125,113,36012,"gp_mid",39.98,5.77,"508",119,"aptian",31935,36.0941,3.3529,27
"119824",171393,"col","",33.44,30.84,"Gebel Lagama (Aptian)",NA,"",3,"Aptian","",125,113,36012,"gp_mid",40.14,5.84,"508",119,"aptian",31936,36.0941,3.3529,27
"119836",171405,"col","",33.44,30.84,"Gebel Lagama (Aptian ferruginous limestone)",NA,"",2,"Aptian","",125,113,36012,"gp_mid",40.14,5.84,"508",119,"aptian",31936,36.0941,3.3529,27
"119838",171407,"col","",33.38,30.81,"Gebel oum Raghaoui (Aptian)",NA,"",1,"Aptian","",125,113,36012,"gp_mid",40.08,5.83,"508",119,"aptian",31939,36.0941,3.3529,27
"119937",171506,"col","",1.08,51.07,"Hythe, Sandgate",NA,"",1,"Aptian","",125,113,55772,"gp_mid",26.97,41.03,"315",119,"aptian",10613,24.5379,38.7172,27
"120186",171804,"col","Ferruginous Sands",-1.17,50.62,"Horse Ledge Decapods",NA,"",2,"Aptian","",125,113,55837,"gp_mid",25.03,40.75,"315",119,"aptian",32003,24.5379,38.7172,27
"120259",171904,"col","",-0.62,51.21,"Binscombe Decapods",NA,"",1,"Aptian","",125,113,55837,"gp_mid",25.59,41.29,"315",119,"aptian",32006,24.5379,38.7172,27
"120429",172150,"col","Dinosaur Beds",34.19,-10.56,"Florence Bay",NA,"",1,"Aptian","",125,113,55895,"gp_mid",22.7,-31.86,"701",119,"aptian",32014,17.2656,-32.2307,27
"120430",172151,"col","Dinosaur Beds",34.26,-10.43,"Deep Bay",NA,"",1,"Aptian","",125,113,55895,"gp_mid",22.84,-31.78,"701",119,"aptian",32015,17.2656,-32.2307,27
"120468",172383,"col","Dashatan",125.54,42.15,"Dashatan, Liuhe County",NA,"",1,"Aptian","",125,113,56021,"gp_mid",136.29,42.03,"604",119,"aptian",32026,134.825,45.7928,27
