"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"90887",131506,"col","Baitoa",-70.699997,19.35,"NMB Loc. 17290 - Río Yaque del Norte [Baitoa Fm]",NA,"PJ# 1735",10,"Langhian","",15.97,13.82,25313,"gp_mid",-67.14,20.54,"252",14.895
"90988",131624,"col","Baitoa",-70.699997,19.35,"NMB Loc. 16940 - Rio Yaque del Norte [Baitoa Fm]",NA,"PJ# 1694",3,"Langhian","",15.97,13.82,25313,"gp_mid",-67.14,20.54,"252",14.895
"92345",133497,"col","Itahashi",133,34.863056,"Shobara, Itahashi Formation",NA,"",2,"Langhian","",15.97,13.82,63180,"gp_mid",130.63,34.45,"610",14.895
"92438",133676,"col","",-69.73333,-42.233334,"El Petiso",NA,"",4,"Langhian","",15.97,13.82,43074,"gp_mid",-67.29,-41.58,"291",14.895
"93540",134954,"col","Upper Freshwater Molasse",11.044444,48.443611,"Griesbeckerzell 1a",NA,"",40,"Langhian","",15.97,13.82,43315,"gp_mid",12.99,45.61,"305",14.895
"93612",135038,"col","Upper Freshwater Molasse",11.044444,48.443611,"Griesbeckerzell 1b",NA,"",15,"Langhian","",15.97,13.82,43315,"gp_mid",12.99,45.61,"305",14.895
"94726",136426,"col","Pisco",-75.748055,-14.446667,"Correviento",NA,"Corre Viento",2,"Langhian","",15.97,13.82,43640,"gp_mid",-72.05,-13.62,"201",14.895
"94731",136467,"col","El Porvenir",-69.986946,11.976667,"NMB Loc. 17526 - Paraguana [El Porvenir beds]",NA,"",3,"Langhian","",15.97,13.82,30037,"gp_mid",-65.42,12.6,"203",14.895
"94732",136469,"col","Buenevara Adentro",-69.986946,11.976667,"NMB Loc. 17527 - Paraguana [Buenevara Adentro beds]",NA,"",4,"Langhian","",15.97,13.82,30037,"gp_mid",-65.42,12.6,"203",14.895
"94985",136878,"col","Castilletes",-71.339447,11.924444,"STRI Loc. 290442 - Puerto Lopez [middle Castilletes Fm]",NA,"STRI Sample 16916",20,"Langhian","",15.97,13.82,43760,"gp_mid",-66.77,12.59,"203",14.895
"94986",136879,"col","Castilletes",-71.339165,11.923333,"STRI Loc. 290443 [bulk] - Puerto Lopez [middle Castilletes Fm]",NA,"STRI Sample 17088",29,"Langhian","",15.97,13.82,43760,"gp_mid",-66.77,12.59,"203",14.895
"94987",136880,"col","Castilletes",-71.341393,11.925,"STRI Loc. 290448A - Puerto Lopez [middle Castilletes Fm]",NA,"",32,"Langhian","",15.97,13.82,43760,"gp_mid",-66.78,12.59,"203",14.895
"94991",136884,"col","Castilletes",-71.345276,11.906667,"STRI Loc. 290465 [bulk] - Castilletes [upper Castilletes Fm]",NA,"STRI Sample 16911",34,"Langhian","",15.97,13.82,43760,"gp_mid",-66.78,12.57,"203",14.895
"94992",136885,"col","Castilletes",-71.318886,11.9375,"STRI Loc. 290473 - Puerto Lopez [middle Castilletes Fm]",NA,"STRI Sample 17095A",67,"Langhian","",15.97,13.82,43760,"gp_mid",-66.75,12.6,"203",14.895
"95009",136907,"col","Castilletes",-71.341393,11.925,"STRI Loc. 290448B - Puerto Lopez [middle Castilletes Fm]",NA,"",29,"Langhian","",15.97,13.82,43760,"gp_mid",-66.78,12.59,"203",14.895
"95011",136909,"col","Castilletes",-71.341393,11.925,"STRI Loc. 290448C - Puerto Lopez [middle Castilletes Fm]",NA,"STRI Sample 17093",31,"Langhian","",15.97,13.82,43760,"gp_mid",-66.78,12.59,"203",14.895
"96704",138757,"col","Argun",36.470001,45.450001,"Malyi Kamyshlak, Kerch, Crimea (PIN collection 287)",NA,"",1,"Langhian","",15.97,13.82,41286,"gp_mid",37,42.31,"302",14.895
"97752",139832,"col","",10.73,48.860001,"Nördlinger Ries, near Wemding",NA,"",1,"Langhian","",15.97,13.82,45004,"gp_mid",12.71,46.03,"305",14.895
"97980",140091,"col","Cura-Mallín",-71.23333,-37.483334,"Cerro los Pinos",NA,"Laguna del Laja",6,"Langhian","",15.97,13.82,45220,"gp_mid",-68.51,-36.79,"291",14.895
"98391",140651,"col","Latah",-117.474998,47.689999,"Deep Creek Canyon",NA,"",1,"Langhian","",15.97,13.82,33328,"gp_mid",-111.4,51.71,"127",14.895
"98392",140652,"col","Latah",-117.43,47.610001,"Near Spokane",NA,"",8,"Langhian","",15.97,13.82,33328,"gp_mid",-111.36,51.63,"127",14.895
"99086",141536,"col","",-117.059998,32.356388,"Rosarito",NA,"SDSNH 3459",1,"Langhian","",15.97,13.82,46003,"gp_mid",NA,NA,"coordinates not computable using this model",14.895
"101598",144549,"col","",9.283333,39.521111,"Fangario",NA,"",1,"Langhian","",15.97,13.82,46758,"gp_mid",NA,NA,"coordinates not computable using this model",14.895
"101599",144550,"col","",9.283333,39.521111,"Bingia Fargeri",NA,"",1,"Langhian","",15.97,13.82,46758,"gp_mid",NA,NA,"coordinates not computable using this model",14.895
"102308",146100,"col","Latah",-117.506386,47.640278,"Cut No. 1 on the spokane, Portland & Seattle Railroad",NA,"",1,"Langhian","",15.97,13.82,47196,"gp_mid",-111.44,51.66,"127",14.895
"102318",146183,"col","",15.55,46.733334,"Rosenberg quarry, reef facies, coral buildup CB4",NA,"",13,"Langhian","",15.97,13.82,47222,"gp_mid",17.95,42.91,"308",14.895
"102319",146184,"col","",15.55,46.733334,"Rosenberg quarry, inter-reef facies",NA,"",8,"Langhian","",15.97,13.82,47222,"gp_mid",17.95,42.91,"308",14.895
"102357",146225,"col","",15.55,46.733334,"Rosenberg quarry, reef facies, coral buildup CB1",NA,"",13,"Langhian","",15.97,13.82,47222,"gp_mid",17.95,42.91,"308",14.895
"102359",146227,"col","",15.55,46.733334,"Rosenberg quarry, reef facies, coral buildup CB2",NA,"",4,"Langhian","",15.97,13.82,47222,"gp_mid",17.95,42.91,"308",14.895
"102360",146228,"col","",15.55,46.733334,"Rosenberg quarry, coralline algal debris facies",NA,"",17,"Langhian","",15.97,13.82,47222,"gp_mid",17.95,42.91,"308",14.895
"102361",146229,"col","",15.55,46.733334,"Rosenberg quarry, rhodolith-Porites facies",NA,"",16,"Langhian","",15.97,13.82,47222,"gp_mid",17.95,42.91,"308",14.895
"102362",146230,"col","",15.55,46.733334,"Rosenberg quarry, quartz sand-Planostegina facies",NA,"",9,"Langhian","",15.97,13.82,47222,"gp_mid",17.95,42.91,"308",14.895
"102363",146231,"col","",15.55,46.733334,"Rosenberg quarry, coral carpet facies",NA,"",13,"Langhian","",15.97,13.82,47222,"gp_mid",17.95,42.91,"308",14.895
"102615",146502,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 1",NA,"",8,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
"102616",146503,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 2",NA,"",1,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
"102617",146504,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 3",NA,"",3,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
"102618",146505,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 4",NA,"",1,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
"102619",146506,"col","",16.456112,47.858055,"Fenk quarry NNW of Grosshöflein, Müllendorf quarry system, Section A, bed 5",NA,"",1,"Langhian","",15.97,13.82,47320,"gp_mid",18.9,43.99,"308",14.895
