"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"57084",117961,"col","",100.6465,15.206,"Wat Khao Wong KW4",NA,"",6,"Wordian","",268.8,265.1,30663,"gp_mid",115.39,-30.26,"615",1,266.95,"wordian"
"57085",117962,"col","",100.665497,15.2045,"Wat Tham Santisuk WTS2, Khao Wong",NA,"",1,"Wordian","",268.8,265.1,30663,"gp_mid",115.4,-30.24,"615",1,266.95,"wordian"
"57151",118081,"col","Word",-103.150002,30.424999,"Hess Canyon block (SUI)",NA,"",2,"Wordian","",268.8,265.1,22565,"gp_mid",-30.7,6.26,"101",1,266.95,"wordian"
"57168",118117,"col","Gerringong",150.833328,-34.75,"Gerringong (Caltech coll)",NA,"",1,"Wordian","",268.8,265.1,27469,"gp_mid",167.59,-75.47,"801",1,266.95,"wordian"
"57172",118121,"col","",13.358,37.664001,"Rock of Pan Burgio, Sosio",NA,"",2,"Wordian","",268.8,265.1,38049,"gp_mid",NA,NA,"coordinates not computable using this model",1,266.95,"wordian"
"57175",118124,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 1, Kuh-e Ali Bashi",NA,"",5,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57176",118125,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 2, Kuh-e Ali Bashi",NA,"",7,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57177",118126,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 3, Kuh-e Ali Bashi",NA,"",6,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57178",118127,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 4, Kuh-e Ali Bashi",NA,"",4,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
"57179",118128,"col","Gnishik",45.509998,38.939999,"Julfa Section, Bed 5, Kuh-e Ali Bashi",NA,"",5,"Wordian","",268.8,265.1,33703,"gp_mid",52.59,-5.67,"512",1,266.95,"wordian"
