"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"138890",205395,"col","Simi",-118.74,34.26,"Runkle Canyon",NA,"UCR 4579, UCR 6832",2,"Thanetian","",59.2,56,66330,"gp_mid",-89.73,41.95,"105",57.6,"thanetian",36449,-99.2121,36.6971,17
"138918",205434,"col","Seguin",-96.77,31.02,"BR-PCR",NA,"Brazos River",1,"Thanetian","",59.2,56,28119,"gp_mid",-70.05,37.46,"101",57.6,"thanetian",36466,-79.7125,32.9303,17
"138939",205455,"col","Weches",-97.47,30.18,"Dry Creek",NA,"Navosota River",74,"Thanetian","",59.2,56,28119,"gp_mid",-71.08,36.83,"101",57.6,"thanetian",36479,-79.7125,32.9303,17
"138986",205502,"col","Seguin",-97.48,30.18,"MossB",NA,"Seguin type locality, moss branch\r\n\r\n\r\n\r\n",3,"Thanetian","",59.2,56,28119,"gp_mid",-71.09,36.83,"101",57.6,"thanetian",36509,-79.7125,32.9303,17
"138998",205514,"col","Seguin",-96.87,30.01,"PCW",NA,"Pond Creek\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n",1,"Thanetian","",59.2,56,28119,"gp_mid",-70.52,36.52,"101",57.6,"thanetian",36515,-79.7125,32.9303,17
"139014",205530,"col","Seguin",-97.08,30.26,"SBS",NA,"Solomons Branch\r\n",21,"Thanetian","",59.2,56,28119,"gp_mid",-70.65,36.81,"101",57.6,"thanetian",36524,-79.7125,32.9303,17
"139038",205554,"col","Las Virgenes",-118.79,34.24,"Simi Hills, Las Virgenes Sandstone",NA,"UCR 6683, UCR 6887",3,"Thanetian","",59.2,56,66330,"gp_mid",-89.79,41.94,"105",57.6,"thanetian",36540,-99.2121,36.6971,17
"140012",206991,"col","Williamsburg",-79.64,33.28,"Jamestown Quarry, Chicora Member",NA,"",1,"Thanetian","",59.2,56,71195,"gp_mid",-52.07,35.13,"109",57.6,"thanetian",34218,-60.4541,32.3765,17
"141234",208954,"col","",33.93,44.81," Glubokii Yar",NA,"",1,"Thanetian","",59.2,56,72121,"gp_mid",36.79,34.61,"302",57.6,"thanetian",37163,29.7591,41.0332,17
"141489",209337,"col","Falaises de Fresco",-5.62,5.08,"Falaises de Fresco, region CD (Kraïébouèn)",NA,"",1,"Thanetian","",59.2,56,26458,"gp_mid",-5.62,-5.1,"714",57.6,"thanetian",12910,-8.9987,-1.734,17
