"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"52548",79987,"col","Gatun",-79.851021,9.35481,"PPP# 485 - Cativa [lower Gatun Fm]",NA,"NMB Loc. 17866",11,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.58,10.3,"230",9.433
"52557",79995,"col","Gatun",-79.821327,9.38129,"PPP# 225 - Isla Payardi [middle Gatun Fm]",NA,"NMB Loc. 17643",48,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.55,10.32,"230",9.433
"52558",79996,"col","Gatun",-79.815498,9.3547,"PPP# 231 - Sabanita [lower Gatun Fm]",NA,"NMB Loc. 17649",58,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.55,10.3,"230",9.433
"52559",79997,"col","Gatun",-79.815498,9.3547,"PPP# 232 - Sabanita [lower Gatun Fm]",NA,"NMB Loc. 17650",36,"Tortonian","",11.62,7.246,17667,"gp_mid",-77.55,10.3,"230",9.433
"52727",80394,"col","",16.025833,39.663055,"Cessaniti",NA,"",4,"Tortonian","",11.62,7.246,27050,"gp_mid",17.18,37.37,"307",9.433
"52728",80395,"col","",15.982778,38.655834,"Zungri",NA,"",3,"Tortonian","",11.62,7.246,27050,"gp_mid",17.1,36.37,"307",9.433
"52729",80396,"col","",16.01639,38.645557,"Papaglionti",NA,"",1,"Tortonian","",11.62,7.246,27050,"gp_mid",17.13,36.36,"307",9.433
"52730",80397,"col","",15.930556,38.665833,"Zaccanopoli",NA,"",1,"Tortonian","",11.62,7.246,27050,"gp_mid",17.05,36.38,"307",9.433
"52731",80398,"col","",15.903889,38.647778,"Caria",NA,"",1,"Tortonian","",11.62,7.246,27050,"gp_mid",17.02,36.36,"307",9.433
"52732",80399,"col","",16.002501,38.592777,"Rombiolo",NA,"",1,"Tortonian","",11.62,7.246,27050,"gp_mid",17.11,36.31,"307",9.433
"52733",80400,"col","",15.930833,38.675556,"Fitili",NA,"",1,"Tortonian","",11.62,7.246,27050,"gp_mid",17.05,36.39,"307",9.433
"52735",80402,"col","",16.587778,38.91,"Cantanzaro",NA,"",2,"Tortonian","",11.62,7.246,27050,"gp_mid",17.69,36.61,"307",9.433
"53252",81491,"col","Urumaco",-70.277222,11.249167,"FMU 029",NA,"",5,"Tortonian","",11.62,7.246,27454,"gp_mid",-67.52,11.73,"203",9.433
"53346",81588,"col","St Marys",-76.405769,38.340282,"Seahorse Beach, north",NA,"",1,"Tortonian","",11.62,7.246,27517,"gp_mid",-72.29,39.48,"109",9.433
