"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"12128",49615,"col","Cedar Mountain",-109.755844,38.81395,"Bodily Quarry, Little Valley (BYU)",NA,"State of Utah Loc. 42Gr003VP",2,"Barremian","",129.4,125,19182,"gp_mid",-45.38,41.83,"101",127.2
"13161",24804,"col","Nochino",136.761887,35.907986,"Nagakuradani River tracksite",NA,"Izumi",3,"Barremian","",129.4,125,6957,"gp_mid",144.31,45.4,"610",127.2
"13712",113599,"col","Doronino",113.239998,51.985001,"Chernovskie Kopi; Outcrop 9 bed 1 (PIN collection 4626)",NA,"",13,"Barremian","",129.4,125,36859,"gp_mid",116.7,50.63,"401",127.2
"13866",27017,"col","Cedar Mountain",-109.567902,38.826099,"Robert Gaston Quarry (CEU 91-1)",NA,"State of Utah Loc. 42Gr184V, Yellow Cat Quarry",13,"Barremian","",129.4,125,7471,"gp_mid",-45.19,41.79,"101",127.2
"17316",31539,"col","Six Hills",30,25,"Dakhla Oasis Area",NA,"",6,"Barremian","",129.4,125,8506,"gp_mid",34.76,-1.67,"715",127.2
"18030",32326,"col","Vectis",-1.158056,50.656944,"DJB 72",NA,"Sample DJB 72 from Sandown, Isle of Wight (Wealden Shales)",1,"Barremian","",129.4,125,8613,"gp_mid",24.18,37.46,"315",127.2
"28842",46314,"col","",78.875,11.1,"Terani Ammonites and assoc. flora and fauna",NA,"",4,"Barremian","",129.4,125,12344,"gp_mid",26.09,-52.71,"501",127.2
"28844",46316,"col","",78.875,11.1,"Terani Clay: plant fossils",NA,"",7,"Barremian","",129.4,125,12344,"gp_mid",26.09,-52.71,"501",127.2
"29348",46875,"col","Wessex",-1.41035,50.635109,"Grange Chine cliff face (MIWG/BMNH)",NA,"",21,"Barremian","",129.4,125,71233,"gp_mid",23.97,37.46,"315",127.2
"29483",47066,"col","",54.349998,39.099998,"Western End of Lesser Balkhan Range",NA,"",7,"Barremian","",129.4,125,12533,"gp_mid",70.44,27.25,"402",127.2
"29754",47344,"col","Lakota",-103.390999,43.441601,"Hot Springs Quad (USGS)",NA,"",1,"Barremian","",129.4,125,7478,"gp_mid",-36.96,44.4,"101",127.2
"29755",47345,"col","Lakota",-103.336945,43.508888,"Calico Canyon (USNM)",NA,"",2,"Barremian","",129.4,125,17162,"gp_mid",-36.87,44.45,"101",127.2
"31113",48853,"col","Wessex",-1.446693,50.654175,"Brook sauropod [BMNH]",NA,"",2,"Barremian","",129.4,125,14142,"gp_mid",23.95,37.48,"315",127.2
"31461",126288,"col","Sebayashi",138.891937,36.110558,"Kamigahara, Kanna",NA,"Kan-na",1,"Barremian","",129.4,125,41006,"gp_mid",146.48,46.25,"610",127.2
"31670",49617,"col","Cedar Mountain",-109.567902,32.826099,"Gaston Quarry tracksite (CEU)",NA,"Thompson",2,"Barremian","",129.4,125,61453,"gp_mid",-47.8,36.14,"101",127.2
"31975",50052,"col","Cedar Mountain",-110.100243,38.909088,"Crystal Geyser Quarry (UMNH VP Loc. 157)",NA,"CGDQ, CGQ",5,"Barremian","",129.4,125,16819,"gp_mid",-45.68,42.02,"101",127.2
"32125",50371,"col","",-2.586944,37.853889,"0 m - Section X.HA (Cortijo del Hielo)",NA,"",2,"Barremian","",129.4,125,13528,"gp_mid",19.56,25.75,"304",127.2
"32126",50372,"col","",-2.586944,37.853889,"Sample 2, section X.HA (Cortijo del Hielo)",NA,"",4,"Barremian","",129.4,125,13528,"gp_mid",19.56,25.75,"304",127.2
"32127",50373,"col","",-2.586944,37.853889,"Sample 2a, section X.HA (Cortijo del Hielo)",NA,"",4,"Barremian","",129.4,125,13528,"gp_mid",19.56,25.75,"304",127.2
"32128",50374,"col","",-2.586944,37.853889,"Sample 3, section X.HA (Cortijo del Hielo)",NA,"",2,"Barremian","",129.4,125,13528,"gp_mid",19.56,25.75,"304",127.2
"32129",50375,"col","",-2.586944,37.853889,"Sample 4, section X.HA (Cortijo del Hielo)",NA,"",4,"Barremian","",129.4,125,13528,"gp_mid",19.56,25.75,"304",127.2
"32130",50376,"col","",-2.586944,37.853889,"Sample 5, section X.HA (Cortijo del Hielo)",NA,"",6,"Barremian","",129.4,125,13528,"gp_mid",19.56,25.75,"304",127.2
"32131",50377,"col","",-2.586944,37.853889,"Sample 5a, section X.HA (Cortijo del Hielo)",NA,"",3,"Barremian","",129.4,125,13528,"gp_mid",19.56,25.75,"304",127.2
"32132",50378,"col","",-2.586944,37.853889,"Sample 6.1, section X.HA (Cortijo del Hielo)",NA,"",4,"Barremian","",129.4,125,13528,"gp_mid",19.56,25.75,"304",127.2
"32133",50379,"col","",-2.586944,37.853889,"Sample 6.2, section X.HA (Cortijo del Hielo)",NA,"",3,"Barremian","",129.4,125,13528,"gp_mid",19.56,25.75,"304",127.2
"32134",50380,"col","",-2.586944,37.853889,"Sample 6A, section X.HA (Cortijo del Hielo)",NA,"",5,"Barremian","",129.4,125,13528,"gp_mid",19.56,25.75,"304",127.2
