"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"6743",33706,"col","El Cholo",-70.033333,-32.283333,"A2-Arroyo La Laguna, Bed 438a, San Juan",NA,"",5,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",1,178.4,"toarcian"
"6744",33707,"col","El Cholo",-70.033333,-32.283333,"A2-Arroyo La Laguna, Bed 438, San Juan",NA,"",3,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",1,178.4,"toarcian"
"6745",33708,"col","",-70.033333,-32.283333,"A2-Arroyo La Laguna, Bed 445, San Juan",NA,"",1,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",1,178.4,"toarcian"
"6746",33710,"col","",-70.033333,-32.283333,"A2-Arroyo La Laguna, Bed 448, San Juan",NA,"",3,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",1,178.4,"toarcian"
"6747",33711,"col","",-70.033333,-32.283333,"A2-Arroyo La Laguna, Bed 449, San Juan",NA,"",1,"Toarcian","",182.7,174.1,3975,"gp_mid",-19.36,-32.75,"291",1,178.4,"toarcian"
"6781",33754,"col","Puchenque",-69.916664,-35.433334,"B8-Arroyo Serrucho, Bed 1344, Mendoza",NA,"",1,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.3,-35.77,"291",1,178.4,"toarcian"
"6782",33755,"col","Puchenque",-69.916664,-35.433334,"B8-Arroyo Serrucho, Beds1346-1347, Mendoza",NA,"",8,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.3,-35.77,"291",1,178.4,"toarcian"
"6783",33756,"col","Puchenque",-69.916664,-35.433334,"B8-Arroyo Serrucho, Beds 1348-1351, Mendoza",NA,"",11,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.3,-35.77,"291",1,178.4,"toarcian"
"6784",33757,"col","Puchenque",-69.916664,-35.433334,"B8-Arroyo Serrucho, Bed 1352, Mendoza",NA,"",6,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.3,-35.77,"291",1,178.4,"toarcian"
"6785",33758,"col","Puchenque",-69.916664,-35.433334,"B8-Arroyo Serrucho, Bed 1353, Mendoza",NA,"",4,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.3,-35.77,"291",1,178.4,"toarcian"
"6818",33792,"col","Puchenque",-69.916664,-35.483334,"B9-Cerro Puchenque (I), Bed 332-335, Mendoza",NA,"",7,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.29,-35.82,"291",1,178.4,"toarcian"
"6820",33794,"col","Puchenque",-69.916664,-35.483334,"B9-Cerro Puchenque (I), Bed 336, Mendoza",NA,"",7,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.29,-35.82,"291",1,178.4,"toarcian"
"6823",33800,"col","",-70.183334,-35.516666,"B11-Cerro Tricolor, Bed 805, Mendoza",NA,"",9,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.54,-35.91,"291",1,178.4,"toarcian"
"6825",33802,"col","",-70.183334,-35.516666,"B11-Cerro Tricolor, Beds 806-807, Mendoza",NA,"",10,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.54,-35.91,"291",1,178.4,"toarcian"
"6832",33811,"col","",-69.98333,-35.950001,"B12-Arroyo Poti Malal, Bed 800, Mendoza",NA,"",5,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.21,-36.29,"291",1,178.4,"toarcian"
"6833",33812,"col","",-69.98333,-35.950001,"B12-Arroyo Poti Malal, Bed 803, Mendoza",NA,"",3,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.21,-36.29,"291",1,178.4,"toarcian"
"6834",33814,"col","",-69.98333,-35.950001,"B12-Arroyo Poti Malal, Bed 812, Mendoza",NA,"",1,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.21,-36.29,"291",1,178.4,"toarcian"
"6835",33815,"col","",-69.98333,-35.950001,"B12-Arroyo Poti Malal, Bed 818, Mendoza",NA,"",4,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.21,-36.29,"291",1,178.4,"toarcian"
"6842",33822,"col","",-70.566666,-37.266666,"C1-Cordillera del Viento, Bed 1224, North-Central Neuquen",NA,"",3,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.35,-37.68,"291",1,178.4,"toarcian"
"6846",33827,"col","",-70.433334,-37.066666,"C4-Arroyo Niraico, North Central Neuquen",NA,"",11,"Toarcian","",182.7,174.1,3975,"gp_mid",-18.29,-37.46,"291",1,178.4,"toarcian"
"6868",33849,"col","Los Molles",-70.416664,-39.383331,"C15-Arroyo Lapa, Bed 195, North-Central Neuquen",NA,"",2,"Toarcian","",182.7,174.1,3975,"gp_mid",-17.5,-39.69,"291",1,178.4,"toarcian"
"6886",33875,"col","",-70.283333,-28.950001,"Quebrada Pinte, Profil 6, Sample 3-43",NA,"",17,"Late Toarcian","",180.1,175.6,487,"gp_mid",-20.53,-29.56,"291",1,177.85,"toarcian"
"6887",33876,"col","",-70.283333,-28.950001,"Quebrada Pinte, Profil 6, Sample 3-44",NA,"",19,"Late Toarcian","",180.1,175.6,487,"gp_mid",-20.53,-29.56,"291",1,177.85,"toarcian"
