"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"5049",27998,"col","Koessen",12,47,"Hochalm B32",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5050",27999,"col","Koessen",12,47,"Hochalm A3",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5051",28000,"col","Koessen",12,47,"Hochalm A5",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5082",28094,"col","Koessen",12,47,"Hochalm A6",NA,"",6,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5083",28095,"col","Koessen",12,47,"Hochalm A8",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5084",28096,"col","Koessen",12,47,"Hochalm A9",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5085",28097,"col","Koessen",12,47,"Hochalm A11",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5086",28098,"col","Koessen",12,47,"Hochalm A13",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5087",28099,"col","Koessen",12,47,"Hochalm A14",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5088",28100,"col","Koessen",12,47,"Hochalm A15",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5089",28101,"col","Koessen",12,47,"Hochalm A16",NA,"",6,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5090",28102,"col","Koessen",12,47,"Hochalm A17",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5091",28103,"col","Koessen",12,47,"Hochalm A18",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5092",28104,"col","Koessen",12,47,"Hochalm A19",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5093",28105,"col","Koessen",12,47,"Hochalm A22",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5094",28106,"col","Koessen",12,47,"Hochalm A25",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5095",28107,"col","Koessen",12,47,"Hochalm A36",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5096",28108,"col","Koessen",12,47,"Hochalm A40",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5097",28109,"col","Koessen",12,47,"Hochalm A42",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5098",28110,"col","Koessen",12,47,"Hochalm A46",NA,"",7,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5099",28111,"col","Koessen",12,47,"Hochalm A47",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5100",28112,"col","Koessen",12,47,"Hochalm A52",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.09,27.04,"307",1,204.9,"rhaetian"
"5143",28493,"col","Kossen",13.804167,47.770832,"Eibenberg A2",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.65,26.66,"307",1,204.9,"rhaetian"
"5144",28495,"col","Kossen",13.804167,47.779167,"Eibenberg A4",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5145",28498,"col","Kossen",13.804167,47.779167,"Eibenberg A5",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5146",28501,"col","Kossen",13.804167,47.779167,"Eibenberg A9/1",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5147",28502,"col","Kossen",13.804167,47.779167,"Eibenberg B2",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5148",28503,"col","Kossen",13.804167,47.779167,"Eibenberg B5",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5149",28504,"col","Kossen",13.804167,47.779167,"Eibenberg B6",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5150",28505,"col","Kossen",13.804167,47.779167,"Eibenberg B7",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5152",28507,"col","Kossen",13.804167,47.779167,"Eibenberg B8",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5153",28508,"col","Kossen",13.804167,47.779167,"Eibenberg B9",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5154",28509,"col","Kossen",13.804167,47.779167,"Eibenberg B10",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5155",28510,"col","Kossen",13.804167,47.779167,"Eibenberg B11",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5156",28512,"col","Kossen",13.804167,47.779167,"Eibenberg B13",NA,"",7,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5157",28514,"col","Kossen",13.804167,47.779167,"Eibenberg B14",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5158",28520,"col","Kossen",13.804167,47.779167,"Eibenberg B18",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5159",28523,"col","Kossen",13.804167,47.779167,"Eibenberg B19",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",30.66,26.66,"307",1,204.9,"rhaetian"
"5160",28580,"col","Kossen",12.45,47.662498,"Kossen B1",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5161",28581,"col","Kossen",12.45,47.662498,"Kossen B3",NA,"",6,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5162",28582,"col","Kossen",12.45,47.662498,"Kossen B5",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5163",28584,"col","Kossen",12.45,47.662498,"Kossen B7",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5164",28586,"col","Kossen",12.45,47.662498,"Kossen B10",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5165",28587,"col","Kossen",12.45,47.662498,"Kossen B12",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5166",28588,"col","Kossen",12.45,47.662498,"Kossen B13",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5168",28590,"col","Kossen",12.45,47.662498,"Kossen B14",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5169",28591,"col","Kossen",12.45,47.662498,"Kossen B15",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5170",28592,"col","Kossen",12.45,47.662498,"Kossen B16",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5171",28593,"col","Kossen",12.45,47.662498,"Kossen B18",NA,"",6,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5172",28594,"col","Kossen",12.45,47.662498,"Kossen B19",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5173",28595,"col","Kossen",12.45,47.662498,"Kossen A14",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5174",28596,"col","Kossen",12.45,47.662498,"Kossen A13",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5175",28597,"col","Kossen",12.45,47.662498,"Kossen A10",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5176",28599,"col","Kossen",12.45,47.662498,"Kossen A7",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5177",28605,"col","Kossen",12.45,47.662498,"Kossen C7/1",NA,"",4,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.87,27.26,"307",1,204.9,"rhaetian"
"5180",28818,"col","Kossen",11.766667,47.570831,"Oberer Ampelsbach 66",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",29.45,27.54,"307",1,204.9,"rhaetian"
"5181",28819,"col","Kossen",14.733333,47.75,"Voralpe A1",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
"5182",28820,"col","Kossen",14.733333,47.75,"Voralpe B2",NA,"",3,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
"5183",28821,"col","Kossen",14.733333,47.75,"Voralpe B3",NA,"",2,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
"5184",28822,"col","Kossen",14.733333,47.75,"Voralpe B4",NA,"",6,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
"5185",28823,"col","Kossen",14.733333,47.75,"Voralpe B6",NA,"",1,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
"5186",28824,"col","Kossen",14.733333,47.75,"Voralpe B6",NA,"",5,"Rhaetian","",208.5,201.3,7658,"gp_mid",31.11,26.19,"307",1,204.9,"rhaetian"
