"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"60875",123593,"col","Wujiaping",108.589996,30.184999,"Qiyueshan, Lichuan County",NA,"",13,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",106.38,-12.78,"611",1,257.035,"wuchiapingian"
"60876",123594,"col","Longtan",115.779999,24.469999,"Siwangzhang, Longtan Fm, Xingning County",NA,"",3,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",114.43,-16.35,"611",1,257.035,"wuchiapingian"
"60880",123598,"col","Longtan",111.860001,27.82,"Qiaotouhe, Lianyuan County",NA,"",1,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",109.87,-14.28,"611",1,257.035,"wuchiapingian"
"60882",123600,"col","",112.940002,26.23,"Hwang-i-kang",NA,"Huangnijiang",15,"Wuchiapingian","",259.9,254.17,44780,"gp_mid",111.32,-15.51,"611",1,257.035,"wuchiapingian"
"60884",123602,"col","Longtan",112.695,27.549999,"Heinitang, Xiangtan County",NA,"",1,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",110.69,-14.32,"611",1,257.035,"wuchiapingian"
"60892",123610,"col","Wujiaping",110.730003,30.5,"Huoshaoping, Changyang County",NA,"",1,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",108.12,-11.99,"611",1,257.035,"wuchiapingian"
"60893",123611,"col","Wujiaping",110.195,30.235001,"Jinjikou, Hefeng County",NA,"",1,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",107.74,-12.37,"611",1,257.035,"wuchiapingian"
"60898",123618,"col","Longtan",108.919998,30.299999,"Lichuan County, Longtan Fm",NA,"",2,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",106.64,-12.6,"611",1,257.035,"wuchiapingian"
"60899",123619,"col","Longtan",113.650002,28.17,"Liuyang County, Longtan Fm",NA,"",1,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",111.32,-13.47,"611",1,257.035,"wuchiapingian"
"60902",123622,"col","Heshan",108.885002,23.77,"Matan Section, Heshan Formation, Heshan",NA,"",1,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",108.36,-18.91,"611",1,257.035,"wuchiapingian"
"60903",123623,"col","Longtan",112.400002,28.25,"Meitanba, Longtan Fm, Ningxiang County",NA,"",2,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",110.21,-13.73,"611",1,257.035,"wuchiapingian"
"60905",123625,"col","Heshan",107.714996,22.370001,"Naquan, Fusui County",NA,"",2,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",107.63,-20.54,"611",1,257.035,"wuchiapingian"
"60914",123634,"col","Longtan",112.400002,24.799999,"Shuiyuantou, Lianxian County",NA,"",1,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",111.28,-17.02,"611",1,257.035,"wuchiapingian"
"60916",123636,"col","Heshan",108.639999,23.67,"Tanghong, Shanglin County",NA,"",1,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",108.16,-19.07,"611",1,257.035,"wuchiapingian"
"60922",123642,"col","Heshan",107.309998,24.34,"Wuzhuan, Donglan County",NA,"",1,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",106.73,-18.73,"611",1,257.035,"wuchiapingian"
"60924",123644,"col","Longtan",112.949997,27.85,"Xiangtan County, Longtan Formation",NA,"",1,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",110.81,-13.97,"611",1,257.035,"wuchiapingian"
"60925",123645,"col","Heshan",106.455002,24.844999,"Yanpeng, Leye County",NA,"",1,"Wuchiapingian","",259.9,254.17,35242,"gp_mid",105.81,-18.42,"611",1,257.035,"wuchiapingian"
"61062",123832,"col","Wargal",71.764999,32.610001,"Musakheyl, Middle Productus-limestone, Salt Range (Fleming)",NA,"",1,"Wuchiapingian","",259.9,254.17,29811,"gp_mid",51.92,-38.13,"501",1,257.035,"wuchiapingian"
"61150",124020,"col","Longtan",111.75,27.25,"Wulongyan, Longtan Fm, Shaodong County",NA,"",1,"Wuchiapingian","",259.9,254.17,35245,"gp_mid",109.95,-14.86,"611",1,257.035,"wuchiapingian"
"61154",124024,"col","Longtan",111.910004,27.82,"Yangliucun, Enkou, Lianyuan County",NA,"",1,"Wuchiapingian","",259.9,254.17,35245,"gp_mid",109.92,-14.27,"611",1,257.035,"wuchiapingian"
"61160",124038,"col","Laibin",109.319504,23.693001,"Penglaitan island, uppermost Laibin limestone",NA,"",1,"Wuchiapingian","",259.9,254.17,39949,"gp_mid",108.78,-18.88,"611",1,257.035,"wuchiapingian"
"61275",124249,"col","Longtan",119.815002,31.855,"Benniu, Wujin City",NA,"",2,"Wuchiapingian","",259.9,254.17,34871,"gp_mid",112.99,2.45,"604",1,257.035,"wuchiapingian"
"61276",124250,"col","Longtan",117.82,30.91,"Tongling, Longtan Formation",NA,"",1,"Wuchiapingian","",259.9,254.17,34871,"gp_mid",113.88,-9.68,"611",1,257.035,"wuchiapingian"
"61293",124291,"col","Wargal",71.644997,32.740002,"Swas, Middle Productus-limestone, Salt Range (Warth coll)",NA,"",1,"Wuchiapingian","",259.9,254.17,27310,"gp_mid",52.03,-37.99,"501",1,257.035,"wuchiapingian"
"61294",124292,"col","Wargal",71.764999,32.610001,"Musakheyl, reddish marble, Salt Range (Warth coll)",NA,"Musa Khel",3,"Wuchiapingian","",259.9,254.17,27310,"gp_mid",51.92,-38.13,"501",1,257.035,"wuchiapingian"
"61297",124295,"col","Wargal",72.199997,32.525002,"Khura, top of calcareous series, Middle Productus-limestone, Salt Range",NA,"",1,"Wuchiapingian","",259.9,254.17,27310,"gp_mid",51.97,-38.5,"501",1,257.035,"wuchiapingian"
"61298",124296,"col","Wargal",71.849998,32.490002,"Road between Chidru and Golawali, Middle Productus-limestone, Salt Range",NA,"",1,"Wuchiapingian","",259.9,254.17,27310,"gp_mid",51.8,-38.23,"501",1,257.035,"wuchiapingian"
"61299",124297,"col","Wargal",72.25,32.400002,"Morah, marble-like siliceous Middle Productus-limestone, Salt Range (Wynne coll)",NA,"",1,"Wuchiapingian","",259.9,254.17,27310,"gp_mid",51.84,-38.58,"501",1,257.035,"wuchiapingian"
"61300",124298,"col","Wargal",71.779999,32.549999,"Chidru, marble-like siliceous Middle Productus-limestone, Salt Range",NA,"Chhidru",1,"Wuchiapingian","",259.9,254.17,27310,"gp_mid",51.85,-38.16,"501",1,257.035,"wuchiapingian"
"61337",124357,"col","Wargal",71.949997,32.450001,"Vurcha, Middle Productus-limestone, Salt Range (Oldham coll)",NA,"Warcha",1,"Wuchiapingian","",259.9,254.17,27310,"gp_mid",51.79,-38.33,"501",1,257.035,"wuchiapingian"
"61338",124358,"col","Wargal",71.269997,32.417999,"Omarkheyl, Middle Productus-limestone, Khisor Range (Wynne coll)",NA,"",3,"Wuchiapingian","",259.9,254.17,27310,"gp_mid",51.51,-37.8,"501",1,257.035,"wuchiapingian"
"61339",124406,"col","Wargal",72.199997,32.5,"East of Katwahi, hard limestones, Middle Productus-limestone, Salt Range",NA,"Kathwai",1,"Wuchiapingian","",259.9,254.17,27310,"gp_mid",51.94,-38.51,"501",1,257.035,"wuchiapingian"
"61340",124359,"col","Wargal",72.199997,32.5,"East of Katwahi, reddish siliceous Middle Productus-limestone, Salt Range",NA,"Kathwai",1,"Wuchiapingian","",259.9,254.17,27310,"gp_mid",51.94,-38.51,"501",1,257.035,"wuchiapingian"
