"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"129919",188021,"col","La Victoria",-75.15,3.3,"Duke locality 80",NA,"",2,"Laventan","",13.8,11.8,46952,"gp_mid",-71.55,4.08,"201",12.8,"serravallian",1607,-73.0392,0.936,7
"129920",188022,"col","La Victoria",-75.12,3.29,"Duke locality 116",NA,"",1,"Laventan","",13.8,11.8,46970,"gp_mid",-71.51,4.08,"201",12.8,"serravallian",34346,-73.0392,0.936,7
"129921",188023,"col","Villavieja",-75.17,3.25,"Duke locality 73",NA,"",1,"Laventan","",13.8,11.8,46970,"gp_mid",-71.56,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
"129922",188024,"col","Villavieja",-75.16,3.17,"Duke locality 126",NA,"",2,"Laventan","",13.8,11.8,43668,"gp_mid",-71.56,3.96,"201",12.8,"serravallian",34338,-73.0392,0.936,7
"129923",188025,"col","Villavieja",-75.26,3.21,"Duke locality 19 (Dina Oilfield) ",NA,"",2,"Laventan","",13.8,11.8,43668,"gp_mid",-71.66,4,"201",12.8,"serravallian",34339,-73.0392,0.936,7
"129924",188026,"col","Villavieja",-75.21,3.12,"Duke locality 130",NA,"",1,"Laventan","",13.8,11.8,43668,"gp_mid",-71.61,3.91,"201",12.8,"serravallian",34347,-73.0392,0.936,7
"129925",188027,"col","Villavieja",-75.15,3.17,"Duke locality 141",NA,"",1,"Laventan","",13.8,11.8,43668,"gp_mid",-71.55,3.95,"201",12.8,"serravallian",34348,-73.0392,0.936,7
"129927",188085,"col","Villavieja",-75.19,3.24,"A. dindensis IGM-KU",NA,"",1,"Laventan","",13.8,11.8,63099,"gp_mid",-71.59,4.02,"201",12.8,"serravallian",34349,-73.0392,0.936,7
"129928",188086,"col","Villavieja",-75.18,3.28,"Boreostemma acostae UCMP 38104",NA,"",1,"Laventan","",13.8,11.8,63110,"gp_mid",-71.58,4.07,"201",12.8,"serravallian",34144,-73.0392,0.936,7
"129946",188237,"col","La Victoria",-75.18,3.28,"Villarroelia totoyoi - DGP 7-V-89-2",NA,"",1,"Laventan","",13.8,11.8,46945,"gp_mid",-71.57,4.07,"201",12.8,"serravallian",34144,-73.0392,0.936,7
"129947",188238,"col","Villavieja",-75.18,3.25,"La Venta Red Beds",NA,"",2,"Laventan","",13.8,11.8,46952,"gp_mid",-71.57,4.03,"201",12.8,"serravallian",1610,-73.0392,0.936,7
"129948",188239,"col","Villavieja",-75.18,3.26,"Potamosiren magdalenensis",NA,"",1,"Laventan","",13.8,11.8,38345,"gp_mid",-71.58,4.05,"201",12.8,"serravallian",26397,-73.0392,0.936,7
"129949",188240,"col","La Victoria",-75.19,3.27,"Los Mangos - Cerbatana Conglomerate Beds",NA,"",1,"Laventan","",13.8,11.8,46972,"gp_mid",-71.59,4.06,"201",12.8,"serravallian",25631,-73.0392,0.936,7
"129950",188241,"col","Villavieja",-75.17,3.25,"Duke Screenwash locality CVP 2-4 - Tonatia sp.",NA,"",1,"Laventan","",13.8,11.8,46980,"gp_mid",-71.57,4.04,"201",12.8,"serravallian",1609,-73.0392,0.936,7
