"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma"
"112118",159484,"col","",13.602778,47.535278,"Mitterwand (Locality 5)",NA,"",13,"Sinemurian","",199.3,190.8,52120,"gp_mid",31.76,30.19,"307",195.05
"112119",159485,"col","",13.599,47.534,"Mitterwand (Locality 7)",NA,"",27,"Sinemurian","",199.3,190.8,52120,"gp_mid",31.76,30.19,"307",195.05
"112120",159486,"col","",13.613,47.543999,"Mitterwand (Locality 13)",NA,"",18,"Sinemurian","",199.3,190.8,52120,"gp_mid",31.77,30.19,"307",195.05
"112121",159487,"col","",13.613,47.543999,"Mitterwand (Locality 12)",NA,"",24,"Sinemurian","",199.3,190.8,52120,"gp_mid",31.77,30.19,"307",195.05
"112319",159743,"col","",8.94,45.875999,"Arzo (USNM)",NA,"",1,"Sinemurian","",199.3,190.8,33914,"gp_mid",27.87,31.54,"307",195.05
"113124",160783,"col","",2.792,43.046001,"Petit Guimont, bed 21, Fontjoncouse",NA,"",3,"Sinemurian","",199.3,190.8,52216,"gp_mid",18.48,31.77,"305",195.05
"114280",162254,"col","",-22.288,70.450996,"Locality 5, Ikalissat",NA,"",6,"Sinemurian","",199.3,190.8,52862,"gp_mid",6.04,51.03,"102",195.05
"114281",162255,"col","",-22.288,70.450996,"Locality 5, Ikalissat (Rosenkrantz)",NA,"",3,"Sinemurian","",199.3,190.8,52862,"gp_mid",6.04,51.03,"102",195.05
"114291",162266,"col","",-22.290001,70.459999,"Locality 4. Coast section between Basaltnaes and Ikalissat",NA,"",8,"Sinemurian","",199.3,190.8,52862,"gp_mid",6.03,51.04,"102",195.05
"119226",170526,"col","Oust",9.99,36.244999,"Djebel Bent Saidane, Dubar section, bed 2",NA,"",1,"Sinemurian","",199.3,190.8,55572,"gp_mid",19.01,24.73,"714",195.05
"119755",171322,"col","",-2.44,51.290001,"Radstock (Tutcher Coll.)",NA,"",1,"Sinemurian","",199.3,190.8,52872,"gp_mid",10.38,37.81,"315",195.05
"120782",173572,"col","",13.13,47.709999,"Bäumels quarry, Ober-Wiestal",NA,"",8,"Sinemurian","",199.3,190.8,56577,"gp_mid",31.67,30.54,"307",195.05
"120783",173573,"col","",13.15,47.700001,"Lower quarry in Altental, near Adnet",NA,"",1,"Sinemurian","",199.3,190.8,56577,"gp_mid",31.67,30.53,"307",195.05
"120785",173575,"col","",13.14,47.696999,"Priesterbruch quarry, Adnet",NA,"",1,"Sinemurian","",199.3,190.8,56577,"gp_mid",31.66,30.53,"307",195.05
"120786",173576,"col","",13.15,47.700001,"Upper quarry in Altental, near Adnet",NA,"",2,"Sinemurian","",199.3,190.8,56577,"gp_mid",31.67,30.53,"307",195.05
"120787",173577,"col","",13.14,47.696999,"New Brücklerbruch quarry, Adnet",NA,"",2,"Sinemurian","",199.3,190.8,56577,"gp_mid",31.66,30.53,"307",195.05
"120789",173579,"col","",13.14,47.696999,"Straßgschwandtner quarry, Adnet",NA,"",2,"Sinemurian","",199.3,190.8,56577,"gp_mid",31.66,30.53,"307",195.05
"120792",173582,"col","",13.14,47.696999,"Melcherl quarry, Kirchholz, Adnet",NA,"",1,"Sinemurian","",199.3,190.8,56577,"gp_mid",31.66,30.53,"307",195.05
"120793",173583,"col","",13.14,47.696999,"Adnet (oberen Unterlias)",NA,"",1,"Sinemurian","",199.3,190.8,56577,"gp_mid",31.66,30.53,"307",195.05
"120797",173587,"col","",13.14,47.696999,"Adneth, near Hallein (GBA collection)",NA,"",3,"Sinemurian","",199.3,190.8,56577,"gp_mid",31.66,30.53,"307",195.05
"120801",173592,"col","Saltrio",8.92,45.875,"Saltrio (Parona material)",NA,"",45,"Sinemurian","",199.3,190.8,56581,"gp_mid",27.86,31.55,"307",195.05
"120837",173631,"col","",13.875,47.595001,"Feuerkogel",NA,"",3,"Sinemurian","",199.3,190.8,56585,"gp_mid",31.95,30.09,"307",195.05
"120838",173632,"col","Hierlatz Limestone",13.633,47.549999,"Hierlatz",NA,"",2,"Sinemurian","",199.3,190.8,56585,"gp_mid",31.79,30.18,"307",195.05
"120841",173635,"col","Hierlatz Limestone",13.65,47.566666,"Hallstatt",NA,"",1,"Sinemurian","",199.3,190.8,56585,"gp_mid",31.81,30.19,"307",195.05
"126174",181956,"col","",-69.790001,-34.904999,"Arroyo Las Chilcas, lower Epophioceras zone",NA,"",2,"Sinemurian","",199.3,190.8,11348,"gp_mid",-14.03,-40.31,"291",195.05
"129490",187288,"col","Boonton",-74.399055,40.898102,"Boonton Fish Bed",NA,"",6,"Sinemurian","",199.3,190.8,65034,"gp_mid",-10.25,20.56,"101",195.05
