"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"66526",99413,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (excavation 39), Chiniquá",NA,"",5,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66527",99414,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (Fundgruppe 1049), Chiniquá",NA,"",2,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66528",99415,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (Fundgruppe 1063), Chiniquá",NA,"",3,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66529",99416,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (Fundgruppe 1040), Chiniquá",NA,"",1,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66530",99417,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (Fundgruppe 1044), Chiniquá",NA,"",2,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66531",99418,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (Fundgruppe 1065), Chiniquá",NA,"",1,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66532",99419,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (Fundgruppe 1067), Chiniquá",NA,"",1,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66533",99420,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (Fundgruppe 1043), Chiniquá",NA,"",2,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66534",99421,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (Fundgruppe 1050), Chiniquá",NA,"",2,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66535",99422,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (Fundgruppe 1055), Chiniquá",NA,"",1,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66536",99423,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (excavation 40), Chiniquá",NA,"",1,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66537",99424,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (Fundgruppe 1069), Chiniquá",NA,"",2,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66538",99425,"col","Santa Maria",-54.37,-29.67,"Cynodontier-Sanga (Fundgruppe 1060), Chiniquá",NA,"",1,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"66573",99503,"col","Fassan",17.6,46.88,"Fassan, Köveskál",NA,"",94,"Ladinian","",242,237,32094,"gp_mid",37.53,13.28,"308",239.5,"ladinian",17850,23.4856,29.4151,46
"66574",99504,"col","Langobard",17.6,46.88,"Langobard, Köveskál",NA,"",100,"Ladinian","",242,237,32094,"gp_mid",37.53,13.28,"308",239.5,"ladinian",17850,23.4856,29.4151,46
"66807",99834,"col","",11.97,46.6,"South-west base of La Varella sumit",NA,"",2,"Ladinian","",242,237,32096,"gp_mid",35.28,16.49,"307",239.5,"ladinian",17918,19.3809,25.8877,46
"66987",100030,"col","Calcaire à entroques",6.52,47.57,"Sénargent, Haute-Sâone",NA,"",1,"Ladinian","",242,237,31967,"gp_mid",26.15,26.76,"305",239.5,"ladinian",17990,17.2823,24.2134,46
"67302",100454,"col","Augusta Mountain",-117.49,39.61,"New Pass Mine",NA,"",21,"Ladinian","",242,237,34463,"gp_mid",-38.98,23.27,"101",239.5,"ladinian",7165,-49.0706,12.3423,46
"67306",100458,"col","Augusta Mountain",-117.49,39.61,"New Pass Mine unit 1",100454,"",4,"Ladinian","",242,237,34463,"gp_mid",-38.98,23.27,"101",239.5,"ladinian",7165,-49.0706,12.3423,46
"67307",100459,"col","Augusta Mountain",-117.49,39.61,"New Pass Mine unit 4",100454,"",3,"Ladinian","",242,237,34463,"gp_mid",-38.98,23.27,"101",239.5,"ladinian",7165,-49.0706,12.3423,46
"67308",100460,"col","Augusta Mountain",-117.49,39.61,"New Pass Mine unit 6",100454,"",3,"Ladinian","",242,237,34463,"gp_mid",-38.98,23.27,"101",239.5,"ladinian",7165,-49.0706,12.3423,46
"67309",100461,"col","Augusta Mountain",-117.49,39.61,"New Pass Mine unit 7",100454,"",2,"Ladinian","",242,237,34463,"gp_mid",-38.98,23.27,"101",239.5,"ladinian",7165,-49.0706,12.3423,46
"67311",100463,"col","Augusta Mountain",-117.49,39.61,"New Pass Mine unit 8",100454,"",3,"Ladinian","",242,237,34463,"gp_mid",-38.98,23.27,"101",239.5,"ladinian",7165,-49.0706,12.3423,46
"67312",100464,"col","Augusta Mountain",-117.49,39.61,"New Pass Mine unit 9",100454,"",4,"Ladinian","",242,237,34463,"gp_mid",-38.98,23.27,"101",239.5,"ladinian",7165,-49.0706,12.3423,46
"67313",100465,"col","Augusta Mountain",-117.49,39.61,"New Pass Mine unit 11",100454,"",2,"Ladinian","",242,237,34463,"gp_mid",-38.98,23.27,"101",239.5,"ladinian",7165,-49.0706,12.3423,46
"67314",100466,"col","Augusta Mountain",-117.49,39.61,"New Pass Mine unit 12",100454,"",2,"Ladinian","",242,237,34463,"gp_mid",-38.98,23.27,"101",239.5,"ladinian",7165,-49.0706,12.3423,46
"68618",102302,"col","Upper Saurian Niveau",16.48,78.31,"Botneheia",NA,"",1,"Ladinian","",242,237,34753,"gp_mid",17.27,57.08,"309",239.5,"ladinian",18688,-8.0902,46.5857,46
"68619",102303,"col","Upper Saurian Niveau",18.91,78.49,"Wiche Bukta",NA,"",1,"Ladinian","",242,237,34753,"gp_mid",17.89,57.47,"311",239.5,"ladinian",18689,-7.5408,47.3053,46
"69689",103793,"col","Hauptmuschelkalk",9.71,49.28,"Garnberg Quarry",NA,"",1,"Ladinian","",242,237,34993,"gp_mid",28.01,28.94,"305",239.5,"ladinian",19166,17.4803,27.7242,46
"69960",104803,"col","Muschelkalk",7.44,48.65,"Wasselonne",NA,"",1,"Ladinian","",242,237,35076,"gp_mid",26.54,27.96,"305",239.5,"ladinian",19288,17.2823,24.2134,46
"70600",105523,"col","Santa Maria",-52.78,-29.8,"Sanga no. 1, south of Candelaria",NA,"Bom Retiro",1,"Ladinian","",242,237,7540,"gp_mid",-11.64,-35.33,"201",239.5,"ladinian",4186,-14.582,-49.0435,46
"70601",105524,"col","Santa Maria",-52.78,-29.8,"Sanga no. 2, south of Candelaria",NA,"Bom Retiro",1,"Ladinian","",242,237,7540,"gp_mid",-11.64,-35.33,"201",239.5,"ladinian",4186,-14.582,-49.0435,46
"70602",105525,"col","Santa Maria",-52.78,-29.8,"Sanga do Janguta, south of Candelaria",NA,"Bom Retiro",1,"Ladinian","",242,237,7540,"gp_mid",-11.64,-35.33,"201",239.5,"ladinian",4186,-14.582,-49.0435,46
"70603",105527,"col","Santa Maria",-53,-29.88,"Sanga do Ribeiro, southwest of Candelaria",NA,"",1,"Ladinian","",242,237,7540,"gp_mid",-11.87,-35.41,"201",239.5,"ladinian",19599,-14.582,-49.0435,46
"70604",105529,"col","Santa Maria",-52.78,-29.8,"Bom Retiro general area, south of Candelaria",NA,"",2,"Ladinian","",242,237,35256,"gp_mid",-11.64,-35.33,"201",239.5,"ladinian",4186,-14.582,-49.0435,46
"70607",105532,"col","Chañares",-67.73,-29.78,"Chañares River, 6 miles east",NA,"",2,"Ladinian","",242,237,35258,"gp_mid",-26.93,-33.74,"291",239.5,"ladinian",19601,-33.9335,-49.9808,46
"70608",105533,"col","Chañares",-67.82,-29.83,"Gualo River, 1.25 miles NNW",NA,"",1,"Ladinian","",242,237,35258,"gp_mid",-27.02,-33.79,"291",239.5,"ladinian",1489,-33.9335,-49.9808,46
"70609",105535,"col","Chañares",-67.83,-29.78,"Rio Chanares",NA,"",4,"Ladinian","",242,237,35260,"gp_mid",-27.04,-33.74,"291",239.5,"ladinian",19602,-33.9335,-49.9808,46
"70657",105604,"col","Santa Maria",-52.05,-29.73,"Porto Mariante",NA,"",2,"Ladinian","",242,237,34120,"gp_mid",-10.86,-35.28,"201",239.5,"ladinian",19617,-14.582,-49.0435,46
"70816",105826,"col","Santa Maria",-54.37,-29.67,"Sanga am Weg, Fundgruppe 34",NA,"Weg-Sanga",2,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"70817",105827,"col","Santa Maria",-54.37,-29.67,"Sanga am Weg, Fundgruppe 35",NA,"Weg-Sanga",1,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"70818",105828,"col","Santa Maria",-54.37,-29.67,"Sanga am Weg, Fundgruppe 36",NA,"Weg-Sanga",2,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"70819",105829,"col","Santa Maria",-54.37,-29.67,"Sanga am Weg, Fundgruppe 37",NA,"Weg-Sanga",1,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"70820",105830,"col","Santa Maria",-54.37,-29.67,"Sanga am Weg, Fundgruppe 38",NA,"Weg-Sanga",1,"Ladinian","",242,237,24388,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"71228",106316,"col","Calcare di Meride",8.97,45.98,"Vallone Caves near Lake Lugano",NA,"",1,"Ladinian","",242,237,35466,"gp_mid",33.71,18.04,"307",239.5,"ladinian",19814,19.0343,22.3004,46
"71357",106504,"col","Santa Maria",-54.37,-29.67,"Sanga da Arvore, Baum-Sanga, Xiniquá",NA,"Archaeopelta holotype",2,"Ladinian","",242,237,35586,"gp_mid",-13.32,-35.17,"201",239.5,"ladinian",7334,-14.582,-49.0435,46
"71438",106668,"col","Falang",104.67,25.08,"Jiyangshan, Huabi",NA,"Fuyuan",4,"Ladinian","",242,237,35645,"gp_mid",108.16,-8,"611",239.5,"ladinian",19877,119.7653,18.7825,46
"71468",106697,"col","Meride",8.95,45.9,"Val Serrata Tanystropheus",NA,"Monte San Giorgio",1,"Ladinian","",242,237,35651,"gp_mid",33.63,18.02,"307",239.5,"ladinian",19890,19.0343,22.3004,46
"71882",107352,"col","Santa Maria",-53.37,-29.63,"Posto de Gasolina, site A",NA,"Decuriasuchus site",1,"Ladinian","",242,237,35727,"gp_mid",-12.26,-35.15,"201",239.5,"ladinian",19998,-14.582,-49.0435,46
"71883",107353,"col","Santa Maria",-53.37,-29.63,"Posto de Gasolina, site B",NA,"Decuriasuchus site",2,"Ladinian","",242,237,35727,"gp_mid",-12.26,-35.15,"201",239.5,"ladinian",19998,-14.582,-49.0435,46
"73775",109522,"col","Buchsteiner",11.72,46.6,"Seceda NE St. Ulrich/Ortisei, below the Pana-Seharte cliff",NA,"",1,"Ladinian","",242,237,36201,"gp_mid",35.2,16.63,"307",239.5,"ladinian",20626,19.3809,25.8877,46
"73965",109710,"col","Muschelkalk",1.12,41.27,"Montral-Alcover Basin",NA,"",53,"Ladinian","",242,237,36263,"gp_mid",23,19.13,"304",239.5,"ladinian",20677,11.7369,12.6211,46
"74459",110220,"col","Qudenggongba",86.15,28.42,"Tulong South JSB11, Nyalam County",NA,"",1,"Ladinian","",242,237,36330,"gp_mid",55.53,-42.81,"501",239.5,"ladinian",20918,77.5189,-30.8154,46
"74460",110221,"col","Qudenggongba",86.15,28.42,"Tulong South JSB12, Nyalam County",NA,"",5,"Ladinian","",242,237,36330,"gp_mid",55.53,-42.81,"501",239.5,"ladinian",20918,77.5189,-30.8154,46
"74462",110223,"col","Qudenggongba",86.17,28.48,"Langnong Pass JSB83, Nieniexiongla, Nyalam County",NA,"",2,"Ladinian","",242,237,36330,"gp_mid",55.6,-42.8,"501",239.5,"ladinian",20920,77.5189,-30.8154,46
"74472",110233,"col","Qudenggongba",86.15,28.42,"Tulong South 73-10G-2(16), Nyalam County",NA,"",1,"Ladinian","",242,237,36330,"gp_mid",55.53,-42.81,"501",239.5,"ladinian",20918,77.5189,-30.8154,46
"74491",110252,"col","Qudenggongba",86.25,28.6,"Langnong Pass 73-10G-1(8), Nieniexiongla, Nyalam County",NA,"",1,"Ladinian","",242,237,36330,"gp_mid",55.8,-42.8,"501",239.5,"ladinian",20925,77.5189,-30.8154,46
"75019",110826,"col","Muschelkalk",0.23,42.07,"Estada, NE of Barbastro",NA,"",1,"Ladinian","",242,237,36415,"gp_mid",22.73,20.13,"304",239.5,"ladinian",21050,11.7369,12.6211,46
"75131",110929,"col","Meride",8.94,45.89,"Meride",NA,"Acqua ferruginosa, Valle Nera",2,"Ladinian","",242,237,36435,"gp_mid",33.61,18.02,"307",239.5,"ladinian",21073,19.0343,22.3004,46
"75132",110930,"col","Meride",8.94,45.89,"Meride",NA,"Val Mara",1,"Ladinian","",242,237,36435,"gp_mid",33.61,18.02,"307",239.5,"ladinian",21073,19.0343,22.3004,46
