"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color","type"
"lutetian",5,30,15,22.5,"N",20.9,12,31,0.393596986817326,47.8,44.55,41.3,6.5,"Lt","#FCB482","sampled"
"lutetian",5,30,15,22.5,"N",18.4722,11.7977,24.499375,0.372307491377684,47.8,44.55,41.3,6.5,"Lt","#FCB482","rarefied"
"ypresian",1,90,75,82.5,"N",252,227.375,276.525,0.135711516091508,56,51.9,47.8,8.2,"Y","#FCA773","simulated"
"ypresian",5,30,15,22.5,"N",16.9,9,24.525,0.332219382740318,56,51.9,47.8,8.2,"Y","#FCA773","sampled"
"ypresian",5,30,15,22.5,"N",15.70129,8.94295,21.115825,0.320269126349048,56,51.9,47.8,8.2,"Y","#FCA773","rarefied"
"thanetian",1,90,75,82.5,"N",230.19,202.95,257.625,0.124484895681236,59.2,57.6,56,3.2,"Th","#FDBF6F","simulated"
"thanetian",4,45,30,37.5,"N",11.67,7,17,0.462361331220285,59.2,57.6,56,3.2,"Th","#FDBF6F","sampled"
"thanetian",4,45,30,37.5,"N",11.4042,6.994,16.14895,0.457006332416184,59.2,57.6,56,3.2,"Th","#FDBF6F","rarefied"
"selandian",1,90,75,82.5,"N",209.25,187.475,235.725,0.112545381202098,61.6,60.4,59.2,2.4,"Sl","#FEBF65","simulated"
"selandian",4,45,30,37.5,"N",3.21,0,7,0.321,61.6,60.4,59.2,2.4,"Sl","#FEBF65","sampled"
"selandian",4,45,30,37.5,"N",3.20951,0,6.99705,0.320975394129954,61.6,60.4,59.2,2.4,"Sl","#FEBF65","rarefied"
"danian",4,45,30,37.5,"N",214.73,189.475,240.525,0.116072152521392,66,63.8,61.6,4.4,"Dn","#FDB462","simulated"
"danian",4,45,30,37.5,"N",24.55,16,34,0.511884904086739,66,63.8,61.6,4.4,"Dn","#FDB462","sampled"
"danian",4,45,30,37.5,"N",20.65371,15.121175,25.887475,0.471378647849599,66,63.8,61.6,4.4,"Dn","#FDB462","rarefied"
"maastrichtian",4,45,30,37.5,"N",220.43,198,243.625,0.118626190002099,72.1,69.05,66,6.1,"Mst","#F2FA8C","simulated"
"maastrichtian",4,45,30,37.5,"N",56.54,45,72.05,0.425656854626214,72.1,69.05,66,6.1,"Mst","#F2FA8C","sampled"
"maastrichtian",4,45,30,37.5,"N",31.24041,28.238675,34.07775,0.311364950613821,72.1,69.05,66,6.1,"Mst","#F2FA8C","rarefied"
"campanian",1,90,75,82.5,"N",249.7,223,278.575,0.1359148259833,83.6,77.85,72.1,11.5,"Cm","#E6F47F","simulated"
"campanian",4,45,30,37.5,"N",31.94,21,42.525,0.419655761397977,83.6,77.85,72.1,11.5,"Cm","#E6F47F","sampled"
"campanian",4,45,30,37.5,"N",24.10076,18.63185,28.285975,0.371971231016175,83.6,77.85,72.1,11.5,"Cm","#E6F47F","rarefied"
