"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color","type"
"burdigalian",4,45,30,37.5,"N",20.4,12.475,29,0.309936189608022,20.44,18.205,15.97,4.47,"Brd","#FFFF41","sampled"
"burdigalian",4,45,30,37.5,"N",17.89351,12.128225,22.91,0.299751099597685,20.44,18.205,15.97,4.47,"Brd","#FFFF41","rarefied"
"aquitanian",6,15,0,7.5,"N",514.52,487.95,543.05,0.258215396968784,23.03,21.735,20.44,2.59,"Aq","#FFFF33","simulated"
"aquitanian",6,15,0,7.5,"N",12.08,6,20,0.383979656706929,23.03,21.735,20.44,2.59,"Aq","#FFFF33","sampled"
"aquitanian",6,15,0,7.5,"N",11.77023,5.998,18.3773,0.380656864431885,23.03,21.735,20.44,2.59,"Aq","#FFFF33","rarefied"
"chattian",6,15,0,7.5,"N",483.94,456,512,0.2427906323373,28.1,25.565,23.03,5.07,"Cht","#FEE6AA","simulated"
"chattian",4,45,30,37.5,"N",14.93,9,23,0.395601483836778,28.1,25.565,23.03,5.07,"Cht","#FEE6AA","sampled"
"chattian",4,45,30,37.5,"N",14.08498,8.961425,19.596025,0.383158415895452,28.1,25.565,23.03,5.07,"Cht","#FEE6AA","rarefied"
"rupelian",6,15,0,7.5,"N",480.03,447.475,508.525,0.242288881149589,33.9,31,28.1,5.8,"Rp","#FED99A","simulated"
"rupelian",4,45,30,37.5,"N",38.56,28.475,48,0.471278416035199,33.9,31,28.1,5.8,"Rp","#FED99A","sampled"
"rupelian",4,45,30,37.5,"N",25.66449,21.466975,28.73505,0.392576343199155,33.9,31,28.1,5.8,"Rp","#FED99A","rarefied"
"priabonian",6,15,0,7.5,"N",522.21,496.425,554.575,0.263160281800865,38,35.95,33.9,4.1,"Prb","#FDCDA1","simulated"
"priabonian",4,45,30,37.5,"N",47.01,35,63,0.474608783442706,38,35.95,33.9,4.1,"Prb","#FDCDA1","sampled"
"priabonian",4,45,30,37.5,"N",27.11067,22.6581,31.03965,0.364743212862968,38,35.95,33.9,4.1,"Prb","#FDCDA1","rarefied"
"bartonian",6,15,0,7.5,"N",518.41,486,550,0.261058515459764,41.3,39.65,38,3.3,"Brt","#FDC091","simulated"
"bartonian",4,45,30,37.5,"N",29.04,19,40.525,0.493709622577355,41.3,39.65,38,3.3,"Brt","#FDC091","sampled"
"bartonian",4,45,30,37.5,"N",22.30017,16.50725,27.20175,0.436979939050581,41.3,39.65,38,3.3,"Brt","#FDC091","rarefied"
"lutetian",6,15,0,7.5,"N",541.44,512.375,569,0.272369195478623,47.8,44.55,41.3,6.5,"Lt","#FCB482","simulated"
"lutetian",6,15,0,7.5,"N",42.74,32,51.525,0.408995215311005,47.8,44.55,41.3,6.5,"Lt","#FCB482","sampled"
"lutetian",6,15,0,7.5,"N",27.33938,23.485175,30.017775,0.354472142188302,47.8,44.55,41.3,6.5,"Lt","#FCB482","rarefied"
"ypresian",6,15,0,7.5,"N",569.59,538.275,598.525,0.287649925510694,56,51.9,47.8,8.2,"Y","#FCA773","simulated"
"ypresian",6,15,0,7.5,"N",49.67,35.475,63,0.400241740531829,56,51.9,47.8,8.2,"Y","#FCA773","sampled"
"ypresian",6,15,0,7.5,"N",29.07529,24.90795,32.73335,0.320137558130675,56,51.9,47.8,8.2,"Y","#FCA773","rarefied"
"thanetian",6,15,0,7.5,"N",547.3,518.475,583.525,0.276271819567697,59.2,57.6,56,3.2,"Th","#FDBF6F","simulated"
