"name","bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper","prop_richness","max_age","mid_age","min_age","duration","abbr","color","type"
"tithonian",4,45,30,37.5,"N",76.62,62.475,92,0.556184668989547,152.1,148.55,145,7.1,"Tt","#D9F1F7","sampled"
"tithonian",4,45,30,37.5,"N",33.77312,30.9899,35.926975,0.392260191405754,152.1,148.55,145,7.1,"Tt","#D9F1F7","rarefied"
"kimmeridgian",4,45,30,37.5,"N",451.91,426.425,480.05,0.228796654448247,157.3,154.7,152.1,5.2,"Km","#CCECF4","simulated"
"kimmeridgian",4,45,30,37.5,"N",40.06,28.9,53.525,0.50555275113579,157.3,154.7,152.1,5.2,"Km","#CCECF4","sampled"
"kimmeridgian",4,45,30,37.5,"N",25.39394,21.4313,29.2257,0.399008274955282,157.3,154.7,152.1,5.2,"Km","#CCECF4","rarefied"
"oxfordian",4,45,30,37.5,"N",477.95,455.475,502.525,0.241824906523378,163.5,160.4,157.3,6.2,"Ox","#BFE7F1","simulated"
"oxfordian",4,45,30,37.5,"N",35.85,26,46.05,0.585880045759111,163.5,160.4,157.3,6.2,"Ox","#BFE7F1","sampled"
"oxfordian",4,45,30,37.5,"N",24.1952,20.295225,28.1584,0.494525012600626,163.5,160.4,157.3,6.2,"Ox","#BFE7F1","rarefied"
"callovian",4,45,30,37.5,"N",549.1,517.95,581.525,0.27618084790689,166.1,164.8,163.5,2.6,"Cll","#BFE7E5","simulated"
"callovian",4,45,30,37.5,"N",66.73,52.475,84.525,0.737266600375649,166.1,164.8,163.5,2.6,"Cll","#BFE7E5","sampled"
"callovian",4,45,30,37.5,"N",31.92197,28.808925,35.01705,0.574707550960739,166.1,164.8,163.5,2.6,"Cll","#BFE7E5","rarefied"
"bathonian",4,45,30,37.5,"N",563,531.8,587.05,0.284126751820581,168.3,167.2,166.1,2.2,"Bt","#B3E2E3","simulated"
"bathonian",4,45,30,37.5,"N",84.01,65.95,101,0.747752558967512,168.3,167.2,166.1,2.2,"Bt","#B3E2E3","sampled"
"bathonian",4,45,30,37.5,"N",34.98267,32.531575,37.1299,0.557581606630539,168.3,167.2,166.1,2.2,"Bt","#B3E2E3","rarefied"
"bajocian",4,45,30,37.5,"N",610.34,577.425,643,0.309686781711259,170.3,169.3,168.3,2,"Bj","#A6DDE0","simulated"
"bajocian",4,45,30,37.5,"N",88.06,68.95,102.525,0.835721742431432,170.3,169.3,168.3,2,"Bj","#A6DDE0","sampled"
"bajocian",4,45,30,37.5,"N",35.56521,33.326,37.450225,0.684628341309227,170.3,169.3,168.3,2,"Bj","#A6DDE0","rarefied"
"aalenian",4,45,30,37.5,"N",649.07,623,672,0.325464200291833,174.1,172.2,170.3,3.8,"Aln","#9AD9DD","simulated"
"aalenian",4,45,30,37.5,"N",44.18,32.95,56.525,0.753025396284302,174.1,172.2,170.3,3.8,"Aln","#9AD9DD","sampled"
"aalenian",4,45,30,37.5,"N",28.2485,24.638325,31.78025,0.664619138894895,174.1,172.2,170.3,3.8,"Aln","#9AD9DD","rarefied"
"toarcian",4,45,30,37.5,"N",639.48,608.325,667,0.322950124234895,182.7,178.4,174.1,8.6,"Trc","#99CEE3","simulated"
"toarcian",4,45,30,37.5,"N",125.21,101.375,143.525,0.764034659506956,182.7,178.4,174.1,8.6,"Trc","#99CEE3","sampled"
"toarcian",4,45,30,37.5,"N",37.49431,35.198225,39.13695,0.56478978873807,182.7,178.4,174.1,8.6,"Trc","#99CEE3","rarefied"
"pliensbachian",4,45,30,37.5,"N",624.08,595.425,653,0.315791604258592,190.8,186.75,182.7,8.1,"Pl","#80C5DD","simulated"
"pliensbachian",4,45,30,37.5,"N",136.63,115.475,156,0.642692506703043,190.8,186.75,182.7,8.1,"Pl","#80C5DD","sampled"
"pliensbachian",4,45,30,37.5,"N",38.2372,36.603025,39.77235,0.420735921452182,190.8,186.75,182.7,8.1,"Pl","#80C5DD","rarefied"
"sinemurian",3,60,45,52.5,"N",626.25,596.95,656.1,0.317234776529945,199.3,195.05,190.8,8.5,"Snm","#67BCD8","simulated"
"sinemurian",4,45,30,37.5,"N",48.51,36,64,0.709521720052655,199.3,195.05,190.8,8.5,"Snm","#67BCD8","sampled"
"sinemurian",4,45,30,37.5,"N",29.94221,26.092975,33.349225,0.606280840793169,199.3,195.05,190.8,8.5,"Snm","#67BCD8","rarefied"
"hettangian",3,60,45,52.5,"N",624.73,600.475,647.525,0.316690999046982,201.3,200.3,199.3,2,"Htt","#4EB3D3","simulated"
"hettangian",4,45,30,37.5,"N",67.98,54.475,84.525,0.851559564073657,201.3,200.3,199.3,2,"Htt","#4EB3D3","sampled"
"hettangian",4,45,30,37.5,"N",32.12363,28.473725,34.878975,0.734714541221245,201.3,200.3,199.3,2,"Htt","#4EB3D3","rarefied"
"rhaetian",3,60,45,52.5,"N",621.62,592.425,649.525,0.315889503211643,208.5,204.9,201.3,7.2,"Rht","#E3B9DB","simulated"
"rhaetian",4,45,30,37.5,"N",70.12,55.475,88,0.77798735160324,208.5,204.9,201.3,7.2,"Rht","#E3B9DB","sampled"
"rhaetian",4,45,30,37.5,"N",32.23779,28.58395,34.798475,0.630147838829815,208.5,204.9,201.3,7.2,"Rht","#E3B9DB","rarefied"
"norian",3,60,45,52.5,"N",627.18,594.425,653.575,0.321799094911184,228,218.25,208.5,19.5,"N","#D6AAD3","simulated"
"norian",3,60,45,52.5,"N",32.86,24.475,43.525,0.477130826194279,228,218.25,208.5,19.5,"N","#D6AAD3","sampled"
"norian",3,60,45,52.5,"N",24.58427,20.815675,28.810975,0.424981127235193,228,218.25,208.5,19.5,"N","#D6AAD3","rarefied"
"carnian",4,45,30,37.5,"N",580.58,558,612.1,0.29410006635969,237,232.5,228,9,"Cr","#C99BCB","simulated"
"carnian",4,45,30,37.5,"N",29.85,20,40.525,0.410365686004949,237,232.5,228,9,"Cr","#C99BCB","sampled"
"carnian",4,45,30,37.5,"N",23.64087,18.0031,28.247375,0.388473635787162,237,232.5,228,9,"Cr","#C99BCB","rarefied"
"ladinian",4,45,30,37.5,"N",564.34,532,604.525,0.2839403681957,242,239.5,237,5,"Ldn","#C983BF","simulated"
"ladinian",4,45,30,37.5,"N",32.94,23.475,42.525,0.450738916256158,242,239.5,237,5,"Ldn","#C983BF","sampled"
"ladinian",4,45,30,37.5,"N",23.94955,19.6166,27.70635,0.402569263805486,242,239.5,237,5,"Ldn","#C983BF","rarefied"
"anisian",4,45,30,37.5,"N",529.26,501.8,560,0.267258487221827,247.2,244.6,242,5.2,"An","#BC75B7","simulated"
"anisian",5,30,15,22.5,"N",25.92,15,36,0.430207468879668,247.2,244.6,242,5.2,"An","#BC75B7","sampled"
"anisian",5,30,15,22.5,"N",19.24591,12.5836,24.158575,0.38188625228858,247.2,244.6,242,5.2,"An","#BC75B7","rarefied"
